atpm_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
60.0,b0870,5,106,0.3983895354016885,0.3983871463701887,2.389031499794303e-06,0,2.3749609150735618e-06
60.0,b2551,6,405,0.3983895354016885,0.3876146476187757,0.0107748877829128,0,5.912923267534015
60.0,b3368,3,408,0.3983895354016885,5.093606127415711e-16,0.398389535401688,1,3558.8931628485057
60.0,b2436,1,209,0.3983895354016885,0.3983808642388975,8.671162790963027e-06,0,1.9407915343211285e-06
60.0,b3500,1,0,0.3983895354016885,0.3983895354016865,2.05391259555654e-15,0,0.0
60.0,b0945,2,0,0.3983895354016885,0.3983895354016935,-4.996003610813205e-15,0,0.0
60.0,b4467,3,0,0.3983895354016885,0.3983895354016935,-4.996003610813205e-15,0,0.0
60.0,b2979,3,0,0.3983895354016885,0.3983895354016935,-4.996003610813205e-15,0,0.0
60.0,b4468,3,0,0.3983895354016885,0.3983895354016935,-4.996003610813205e-15,0,0.0
60.0,b3916,3,405,0.3983895354016885,0.3928783931583449,0.0055111422433436,0,79.89960813136375
60.0,b1260,3,408,0.3983895354016885,1.948213006904341e-16,0.3983895354016883,1,3558.893162848197
60.0,b1261,3,408,0.3983895354016885,0.0,0.3983895354016885,1,3558.8931628485007
60.0,b3426,1,11,0.3983895354016885,0.3983895354016746,1.3877787807814455e-14,0,2.0890956451962213
60.0,b2243,3,11,0.3983895354016885,0.3983895354017193,-3.075317778211684e-14,0,2.089095645198126
60.0,b2242,3,11,0.3983895354016885,0.3983895354017193,-3.075317778211684e-14,0,2.089095645198126
60.0,b2241,3,11,0.3983895354016885,0.3983895354017193,-3.075317778211684e-14,0,2.089095645198126
60.0,b3770,5,408,0.3983895354016885,1.0745860645235997e-15,0.3983895354016875,1,3558.8931628491127
60.0,b4054,4,408,0.3983895354016885,0.0,0.3983895354016885,1,3558.893162848543
60.0,b3281,1,408,0.3983895354016885,0.0,0.3983895354016885,1,3558.893162848543
60.0,b1692,3,408,0.3983895354016885,4.738269266138432e-30,0.3983895354016885,1,3558.8931628485097
60.0,b0243,1,408,0.3983895354016885,4.738269266138432e-30,0.3983895354016885,1,3558.8931628485097
60.0,b1613,1,11,0.3983895354016885,0.3983895354016823,6.217248937900877e-15,0,2.089095645196553
60.0,b0414,2,408,0.3983895354016885,1.0745860645235997e-15,0.3983895354016875,1,3558.8931628491155
60.0,b3041,1,408,0.3983895354016885,0.0,0.3983895354016885,1,3558.893162848547
60.0,b0025,2,408,0.3983895354016885,0.0,0.3983895354016885,1,3558.89316284847
