gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1377,,270,443,0.6947359182109591,0.0,0.6947359182109591,1,18670.97494529719,0.0,infeasible
b2215,,271,443,0.6947359182109591,0.0,0.6947359182109591,1,18670.97494529719,0.0,infeasible
b0929,,271,443,0.6947359182109591,0.0,0.6947359182109591,1,18670.97494529719,0.0,infeasible
b0241,,270,443,0.6947359182109591,0.0,0.6947359182109591,1,18670.97494529719,0.0,infeasible
b4034,,6,8,0.6947359182109591,0.6947359182109591,0.0,0,5.2400738379950844e-05,747.0868199393522,highs_pfba
b4033,,6,8,0.6947359182109591,0.6947359182109591,0.0,0,5.2400738379950844e-05,747.0868199393522,highs_pfba
b4032,,6,8,0.6947359182109591,0.6947359182109591,0.0,0,5.2400738379950844e-05,747.0868199393522,highs_pfba
b4035,,6,8,0.6947359182109591,0.6947359182109591,0.0,0,5.2400738379950844e-05,747.0868199393522,highs_pfba
b4036,,7,2,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,199.99999999999727,747.0868199393519,highs_pfba
b4213,,8,0,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199393531,highs_pfba
b2835,,21,4,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,9.60083979685149e-08,747.0868199393556,highs_pfba
b2836,,23,451,0.6947359182109591,0.6774987768183021,0.017237141392657085,0,20.93379603680274,746.3794583929107,highs_pfba
b3553,,10,8,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,5.2400738379988865e-05,747.0868199393581,highs_pfba
b1134,,2,8,0.6947359182109591,0.6947359182109591,0.0,0,5.240073837996501e-05,747.0868199393549,highs_pfba
b0446,,2,8,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,5.2400738379976905e-05,747.0868199393551,highs_pfba
b1009,,1,4,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,9.600839797979827e-08,747.0868199393578,highs_pfba
b0954,,13,4,0.6947359182109591,0.6947359182109613,-2.1094237467877974e-15,0,5.2304729982008915e-05,747.0868199393535,highs_pfba
b0180,,14,443,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838355906779,265.53191489361706,highs_pfba
b0347,,2,0,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199393519,highs_pfba
b3580,,2,0,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199393526,highs_pfba
