rxn,v_plain,v_canon
EX_gdp_e,-0.0,-0.0
EX_glc__D_e,-10.0,-1.7195105196383353
EX_glcn_e,0.0,0.0
EX_glcr_e,-0.0,-0.0
EX_glcur_e,0.0,-0.0
EX_glcur1p_e,-0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,0.0
EX_glyald_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc_e,0.0,0.0
EX_glyc__R_e,0.0,0.0
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,0.0
EX_glyclt_e,0.0,0.0
EX_gmp_e,0.0,0.0
EX_gsn_e,0.0,0.0
EX_gthox_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_gtp_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_h_e,9.48827680653153,1.5208903457487666
EX_h2_e,0.0,0.0
EX_h2o_e,9.372993105162907,7.857102047773624
EX_h2o2_e,-0.0,-0.0
EX_h2s_e,0.0,0.0
EX_hacolipa_e,-0.0,-0.0
EX_halipa_e,-0.0,-0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,-0.0,-0.0
EX_hg2_e,0.0,0.0
EX_his__L_e,0.0,0.0
EX_hom__L_e,-0.0,-0.0
EX_hxa_e,0.0,0.0
EX_hxan_e,0.0,0.0
EX_idon__L_e,8.05806822673958,0.0
EX_ile__L_e,0.0,0.0
EX_imp_e,-0.0,-0.0
EX_indole_e,0.0,0.0
EX_inost_e,-0.0,-0.0
EX_ins_e,0.0,0.0
EX_isetac_e,-0.0,-0.0
EX_k_e,-0.030383070792603196,-0.030383070597410196
EX_kdo2lipid4_e,0.0,0.0
EX_lac__D_e,0.0,0.0
EX_lac__L_e,0.0,0.0
EX_lcts_e,0.0,0.0
EX_leu__L_e,0.0,0.0
EX_lipa_e,-0.0,-0.0
EX_lipa_cold_e,-0.0,-0.0
EX_lipoate_e,-0.0,-0.0
EX_lys__L_e,0.0,0.0
EX_lyx__L_e,-0.0,-0.0
EX_mal__D_e,-0.0,-0.0
EX_mal__L_e,0.0,0.0
EX_malt_e,-0.0,-0.0
EX_malthx_e,-0.0,-0.0
EX_maltpt_e,-0.0,-0.0
EX_malttr_e,-0.0,-0.0
EX_maltttr_e,-0.0,-0.0
EX_man_e,-0.0,-0.0
EX_man6p_e,-0.0,-0.0
EX_manglyc_e,-0.0,-0.0
EX_melib_e,-0.0,0.0
EX_meoh_e,3.1131311873482346e-07,3.113131167348234e-07
EX_met__D_e,0.0,0.0
EX_met__L_e,-0.0,-0.0
EX_metsox_R__L_e,-0.0,-0.0
EX_metsox_S__L_e,-0.0,-0.0
EX_mg2_e,-0.0013503206525122967,-0.0013503206438372968
EX_mincyc_e,0.0,0.0
EX_minohp_e,-0.0,-0.0
EX_mmet_e,-0.0,-0.0
EX_mn2_e,-0.00010755868252288149,-0.0001075586818318815
EX_mnl_e,-0.0,-0.0
EX_mobd_e,-2.0079696158396112e-05,-2.007969602939611e-05
EX_mso3_e,-0.0,-0.0
EX_n2o_e,-0.0,-0.0
EX_na1_e,-0.0,-0.0
EX_nac_e,-0.0,-0.0
EX_nh4_e,-1.6812191021743321,-1.6812190913721414
EX_ni2_e,-5.027706867567398e-05,-5.0277068352673985e-05
EX_nmn_e,0.0,0.0
EX_no_e,0.0,0.0
EX_no2_e,0.0,0.0
EX_no3_e,0.0,0.0
EX_novbcn_e,0.0,0.0
EX_o16a4colipa_e,-0.0,-0.0
EX_o2_e,-8.95901775461122,-3.4140926123984894
EX_o2s_e,-0.0,-0.0
EX_ocdca_e,-0.0,-0.0
EX_ocdcea_e,-0.0,-0.0
EX_octa_e,-0.0,-0.0
EX_orn_e,0.0,0.0
EX_orot_e,-0.0,-0.0
EX_pacald_e,-0.0,0.0
EX_peamn_e,-0.0,-0.0
EX_phe__L_e,0.0,0.0
EX_pheme_e,-0.0,-0.0
EX_pi_e,-0.1501511425192992,-0.15015114155451703
EX_pnto__R_e,-0.0,-0.0
EX_ppa_e,-0.0,-0.0
EX_ppal_e,-0.0,-0.0
EX_pppn_e,-0.0,-0.0
EX_ppt_e,-0.0,-0.0
EX_pro__L_e,0.0,0.0
EX_progly_e,-0.0,-0.0
EX_psclys_e,-0.0,-0.0
EX_pser__L_e,-0.0,-0.0
EX_ptrc_e,0.0,0.0
EX_pydam_e,-0.0,-0.0
EX_pydx_e,-0.0,-0.0
EX_pydxn_e,-0.0,-0.0
EX_pyr_e,0.0,0.0
EX_quin_e,0.0,0.0
EX_r5p_e,0.0,0.0
EX_rfamp_e,0.0,0.0
EX_rib__D_e,0.0,0.0
EX_rmn_e,-0.0,-0.0
EX_sbt__D_e,-0.0,-0.0
EX_sel_e,-0.0,-0.0
EX_ser__D_e,-0.0,-0.0
EX_ser__L_e,0.0,0.0
EX_skm_e,-0.0,-0.0
EX_slnt_e,-0.0,-0.0
EX_so2_e,0.0,0.0
EX_so3_e,-0.0,-0.0
EX_so4_e,-0.03925814083805478,-0.039258140585844904
EX_spmd_e,-0.0,0.0
EX_succ_e,0.0,0.0
EX_sucr_e,-0.0,-0.0
EX_sulfac_e,-0.0,-0.0
EX_tartr__D_e,0.0,0.0
EX_tartr__L_e,-0.0,-0.0
EX_taur_e,0.0,0.0
EX_tcynt_e,-0.0,-0.0
EX_thm_e,-0.0,-0.0
EX_thr__L_e,0.0,0.0
EX_thrp_e,-0.0,-0.0
EX_thym_e,-0.0,-0.0
EX_thymd_e,0.0,0.0
EX_tma_e,-0.0,-0.0
EX_tmao_e,0.0,0.0
EX_tre_e,0.0,0.0
EX_trp__L_e,0.0,0.0
EX_tsul_e,0.0,0.0
EX_ttdca_e,-0.0,-0.0
EX_ttdcea_e,-0.0,-0.0
EX_ttrcyc_e,0.0,0.0
EX_tungs_e,0.0,0.0
EX_tym_e,0.0,0.0
EX_tyr__L_e,0.0,0.0
EX_tyrp_e,-0.0,-0.0
EX_uacgam_e,0.0,0.0
EX_udpacgal_e,0.0,0.0
EX_udpg_e,0.0,0.0
EX_udpgal_e,0.0,0.0
EX_udpglcur_e,0.0,0.0
EX_ump_e,0.0,0.0
EX_ura_e,0.0,0.0
EX_urea_e,-0.0,-0.0
EX_uri_e,0.0,0.0
EX_val__L_e,0.0,0.0
EX_xan_e,0.0,0.0
