rxn,v_plain,v_canon
EX_xmp_e,-0.0,-0.0
EX_xtsn_e,0.0,0.0
EX_xyl__D_e,0.0,0.0
EX_xylu__L_e,-0.0,-0.0
EX_zn2_e,-5.3078886744287396e-05,-5.3078886403287395e-05
12DGR120tipp,-0.0,-0.0
12DGR140tipp,-0.0,-0.0
12DGR141tipp,-0.0,-0.0
12DGR160tipp,-0.0,-0.0
12DGR161tipp,-0.0,-0.0
12DGR180tipp,-0.0,-0.0
12DGR181tipp,-0.0,-0.0
12PPDRtex,-0.0,-0.0
12PPDRtpp,-0.0,-0.0
12PPDStex,-0.0,-0.0
12PPDStpp,-0.0,-0.0
14GLUCANabcpp,0.0,-0.0
14GLUCANtexi,-0.0,-0.0
23CAMPtex,-0.0,-0.0
23CCMPtex,-0.0,-0.0
23CGMPtex,-0.0,-0.0
23CUMPtex,-0.0,-0.0
23DAPPAt2pp,-0.0,-0.0
23DAPPAtex,-0.0,-0.0
23PDE2pp,-0.0,-0.0
23PDE4pp,-0.0,-0.0
23PDE7pp,-0.0,-0.0
23PDE9pp,-0.0,-0.0
26DAHtex,-0.0,-0.0
2AGPA120tipp,-0.0,-0.0
2AGPA140tipp,-0.0,-0.0
2AGPA141tipp,-0.0,-0.0
2AGPA160tipp,-0.0,-0.0
2AGPA161tipp,-0.0,-0.0
2AGPA180tipp,-0.0,-0.0
2AGPA181tipp,-0.0,-0.0
2AGPE120tipp,-0.0,-0.0
2AGPE140tipp,-0.0,-0.0
2AGPE141tipp,-0.0,-0.0
2AGPE160tipp,-0.0,-0.0
2AGPE161tipp,-0.0,-0.0
2AGPE180tipp,-0.0,-0.0
2AGPE181tipp,-0.0,-0.0
2AGPEAT120,0.0,0.0
2AGPEAT140,0.0,0.0
2AGPEAT141,-0.0,0.0
2AGPEAT160,0.0,0.0
2AGPEAT161,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT181,0.0,0.0
2AGPG120tipp,-0.0,-0.0
2AGPG140tipp,-0.0,-0.0
2AGPG141tipp,-0.0,-0.0
2AGPG160tipp,-0.0,-0.0
2AGPG161tipp,-0.0,-0.0
2AGPG180tipp,-0.0,-0.0
2AGPG181tipp,-0.0,-0.0
2AGPGAT120,0.0,0.0
2AGPGAT140,0.0,0.0
2AGPGAT141,0.0,0.0
2AGPGAT160,0.0,0.0
2AGPGAT161,0.0,0.0
2AGPGAT180,0.0,0.0
2AGPGAT181,0.0,0.0
2DGULRGx,0.0,0.0
2DGULRGy,0.0,0.0
2DGULRx,0.0,-0.0
2DGULRy,0.0,0.0
2MAHMP,0.0,0.0
34dhpactex,-0.0,-0.0
3AMACHYD,-0.0,-0.0
3AMPtex,-0.0,-0.0
3CMPtex,-0.0,-0.0
3GMPtex,-0.0,-0.0
3HAD100,-0.0,-0.0
3HAD120,-0.0,-0.0
3HAD121,-0.0,-0.0
3HAD140,-0.0,-0.0
3HAD141,-0.0,-0.0
3HAD160,-0.0,-0.0
3HAD161,-0.0,-0.0
3HAD180,-0.0,-0.0
3HAD181,-0.0,-0.0
3HAD40,-0.0,0.0
3HAD60,-0.0,-0.0
3HAD80,-0.0,-0.0
3HCINNMH,0.0,-0.0
3HPPPNH,0.0,0.0
3HPPtex,-0.0,-0.0
3HPPtpp,-0.0,-0.0
3KGK,0.0,0.0
3NTD2pp,0.0,-0.0
3NTD4pp,0.0,-0.0
3NTD7pp,0.0,-0.0
3NTD9pp,0.0,-0.0
3OAR100,-0.0,-0.0
3OAR120,-0.0,-0.0
3OAR121,-0.0,-0.0
3OAR140,0.01211381607620945,0.012113815998385449
3OAR141,-0.0,-0.0
3OAR160,-0.0,-0.0
3OAR161,-0.0,-0.0
3OAR180,-0.0,-0.0
3OAR181,-0.0,-0.0
3OAR40,-0.0,-0.0
3OAR60,-0.0,-0.0
3OAR80,-0.0,-0.0
3OAS100,-0.0,-0.0
3OAS120,-0.0,-0.0
3OAS121,-0.0,-0.0
3OAS140,0.01211381607620945,0.012113815998385449
3OAS141,-0.0,-0.0
3OAS160,-0.0,-0.0
3OAS161,-0.0,-0.0
3OAS180,-0.0,-0.0
3OAS181,-0.0,-0.0
3OAS60,-0.0,-0.0
3OAS80,-0.0,-0.0
3OXCOAT,-0.0,-0.0
3PEPTabcpp,-0.0,-0.0
3PEPTtex,-0.0,-0.0
3UMPtex,-0.0,-0.0
42A12BOOXpp,-0.0,-0.0
4HOXPACDtex,-0.0,-0.0
4HTHRS,0.0,0.0
4PCP,-0.0,0.0
4PCPpp,0.0,0.0
4PEPTabcpp,-0.0,-0.0
4PEPTtex,-0.0,-0.0
5DGLCNR,-8.05806822673958,-0.0
5DGLCNt2rpp,-0.0,-0.0
5DGLCNtex,-0.0,-0.0
5DOAN,3.502272580598823e-05,3.502272563266763e-05
5MTRtex,-0.0,-0.0
5MTRtpp,-0.0,-0.0
A5PISO,0.006056908038104725,0.006056907999192724
AACPS1,-0.0,-0.0
AACPS2,-0.0,-0.0
AACPS3,0.01986613535894402,0.019866135231316022
AACPS4,0.023415104912521013,0.02341510476209301
AACPS5,-0.0,-0.0
AACPS6,-0.0,-0.0
AACPS7,0.01211381607620945,0.012113815998385449
AACPS8,-0.0,-0.0
AACPS9,0.0,-0.0
AACTOOR,1.0806713936861359,0.0
AADDGT,-0.0,-0.0
AAMYL,-0.0,-0.0
AAMYLpp,0.0,0.0
AB6PGH,-0.0,-0.0
ABTA,0.0,-0.0
ABUTD,0.0,-0.0
ABUTt2pp,0.0,0.0
ABUTtex,-0.0,-0.0
ACACCT,0.0,0.0
ACACT1r,0.05539505634767448,0.055395055991794485
ACACT2r,0.05539505634767448,0.055395055991794485
ACACT3r,0.05539505634767448,0.055395055991794485
ACACT4r,0.05539505634767448,0.055395055991794485
ACACT5r,0.05539505634767448,0.055395055991794485
ACACT6r,0.04328124027146503,0.043281239993409035
ACACT7r,0.04328124027146503,0.043281239993409035
ACACT8r,-0.0,-0.0
ACACt2pp,-0.0,-0.0
ACACtex,-0.0,-0.0
ACALD,-0.0,-0.0
ACALDtex,-0.0,-0.0
ACALDtpp,-0.0,-0.0
ACANTHAT,0.0,0.0
ACBIPGT,-0.0,-0.0
ACCOAC,0.012114750015565655,0.012114749937735654
ACCOAL,0.0,0.0
ACGAL1PPpp,0.0,-0.0
ACGAL1Ptex,-0.0,-0.0
ACGALtex,-0.0,-0.0
ACGAM1PPpp,0.0,-0.0
ACGAM1Ptex,-0.0,-0.0
ACGAMK,-0.0,-0.0
ACGAMT,-0.0,-0.0
ACGAptspp,0.0,-0.0
ACGAtex,-0.0,-0.0
ACGK,0.08045062573936865,0.046041964712613445
ACGS,0.08045062573936865,0.046041964712613445
