level,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
nh4_-10,b1377,270,441,0.9258552865966436,0.0,0.9258552865966436,1,14154.682034437386
nh4_-10,b2215,271,441,0.9258552865966436,0.0,0.9258552865966436,1,14154.682034437386
nh4_-10,b0929,271,441,0.9258552865966436,0.0,0.9258552865966436,1,14154.682034437386
nh4_-10,b0241,270,441,0.9258552865966436,0.0,0.9258552865966436,1,14154.682034437386
nh4_-10,b4034,6,6,0.9258552865966436,0.9258552865966434,1.1102230246251563e-16,0,183.4886733076583
nh4_-10,b4033,6,0,0.9258552865966436,0.9258552865966736,-2.9976021664879227e-14,0,0.0
nh4_-10,b4032,6,0,0.9258552865966436,0.9258552865966736,-2.9976021664879227e-14,0,0.0
nh4_-10,b4035,6,0,0.9258552865966436,0.9258552865966736,-2.9976021664879227e-14,0,0.0
nh4_-10,b4036,7,6,0.9258552865966436,0.9258552865966736,-3.0198066269804264e-14,0,183.48867330764008
nh4_-10,b4213,8,4,0.9258552865966436,0.925855286596663,-1.9539925233402755e-14,0,1.705123886812509e-07
nh4_-10,b2835,21,0,0.9258552865966436,0.925855286596663,-1.9539925233402755e-14,0,0.0
nh4_-10,b2836,23,126,0.9258552865966436,0.9258552865966628,-1.9206858326015208e-14,0,42.5390314878284
nh4_-10,b3553,10,0,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,0.0
nh4_-10,b1134,2,4,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,1.705123882939566e-07
nh4_-10,b0446,2,0,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,0.0
nh4_-10,b1009,1,0,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,0.0
nh4_-10,b0954,13,4,0.9258552865966436,0.9258552865966796,-3.6193270602780103e-14,0,1.7051238927336386e-07
nh4_-10,b0180,14,441,0.9258552865966436,-4.058645641842216e-11,0.92585528663723,1,13264.878617716524
nh4_-10,b0347,2,0,0.9258552865966436,0.9258552865966718,-2.8310687127941492e-14,0,0.0
nh4_-10,b3580,2,0,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,0.0
nh4_-10,b1093,14,441,0.9258552865966436,9.448220834244764e-16,0.9258552865966424,1,13264.878617716522
nh4_-10,b2323,13,441,0.9258552865966436,2.519377208066086e-30,0.9258552865966436,1,13264.87861771652
nh4_-10,b1095,9,441,0.9258552865966436,0.0,0.9258552865966436,1,13264.878617716524
nh4_-10,b1397,2,0,0.9258552865966436,0.9258552865966612,-1.7763568394002505e-14,0,0.0
nh4_-10,b1245,2,0,0.9258552865966436,0.9258552865966428,7.771561172376098e-16,0,0.0
nh4_-10,b1244,2,0,0.9258552865966436,0.9258552865966428,7.771561172376098e-16,0,0.0
nh4_-10,b1329,1,0,0.9258552865966436,0.9258552865966428,7.771561172376098e-16,0,0.0
nh4_-10,b1246,2,0,0.9258552865966436,0.9258552865966428,7.771561172376098e-16,0,0.0
nh4_-10,b1247,2,0,0.9258552865966436,0.9258552865966428,7.771561172376098e-16,0,0.0
nh4_-10,b1386,3,0,0.9258552865966436,0.9258552865966428,7.771561172376098e-16,0,0.0
nh4_-10,b0004,2,441,0.9258552865966436,-1.7862889688953504e-16,0.9258552865966436,1,13264.878617716522
nh4_-10,b1192,4,4,0.9258552865966436,0.925855286596649,-5.440092820663267e-15,0,9.28940035347731e-05
nh4_-10,b1243,1,0,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,0.0
nh4_-10,b4266,1,0,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,0.0
nh4_-10,b4265,3,0,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,0.0
