gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1377,,270,424,0.4962399415792551,0.0,0.4962399415792551,1,20059.441999762763,0.0,infeasible
b2215,,271,424,0.4962399415792551,0.0,0.4962399415792551,1,20059.441999762763,0.0,infeasible
b0929,,271,424,0.4962399415792551,0.0,0.4962399415792551,1,20059.441999762763,0.0,infeasible
b0241,,270,424,0.4962399415792551,0.0,0.4962399415792551,1,20059.441999762763,0.0,infeasible
b4034,,6,8,0.4962399415792551,0.4962399415792551,0.0,0,2.6735070602018996e-05,747.9191570995355,highs_pfba
b4033,,6,8,0.4962399415792551,0.4962399415792551,0.0,0,2.6735070602018996e-05,747.9191570995355,highs_pfba
b4032,,6,8,0.4962399415792551,0.4962399415792551,0.0,0,2.6735070602018996e-05,747.9191570995355,highs_pfba
b4035,,6,8,0.4962399415792551,0.4962399415792551,0.0,0,2.6735070602018996e-05,747.9191570995355,highs_pfba
b4036,,7,2,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,199.99999999999656,747.9191570995367,highs_pfba
b4213,,8,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995346,highs_pfba
b2835,,21,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.8983876527723785e-08,747.9191570995388,highs_pfba
b2836,,23,451,0.4962399415792551,0.4839276977273589,0.0123122438518962,0,10.680508182043514,747.413898852082,highs_pfba
b3553,,10,8,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.6735070602041416e-05,747.9191570995391,highs_pfba
b1134,,2,8,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,2.673507060204545e-05,747.9191570995404,highs_pfba
b0446,,2,8,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,2.673507060203464e-05,747.919157099537,highs_pfba
b1009,,1,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.8983876527330635e-08,747.9191570995392,highs_pfba
b0954,,13,4,0.4962399415792551,0.4962399415792574,-2.3314683517128287e-15,0,2.6686086725514643e-05,747.9191570995356,highs_pfba
b0180,,14,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813396,398.2978723404252,highs_pfba
b0347,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995349,highs_pfba
b3580,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.919157099536,highs_pfba
b1093,,14,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813381,398.2978723404256,highs_pfba
b2323,,13,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813381,398.2978723404256,highs_pfba
b1095,,9,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813382,398.2978723404256,highs_pfba
b1397,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995337,highs_pfba
b1245,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.898387652905066e-08,747.9191570995396,highs_pfba
b1244,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.898387652905066e-08,747.9191570995396,highs_pfba
b1329,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995392,highs_pfba
b1246,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.898387652905066e-08,747.9191570995396,highs_pfba
b1247,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.898387652905066e-08,747.9191570995396,highs_pfba
b1386,,3,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b0004,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133817,398.2978723404256,highs_pfba
b1192,,4,8,0.4962399415792551,0.4962399415792575,-2.4424906541753444e-15,0,2.673507060202635e-05,747.9191570995358,highs_pfba
b1243,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995358,highs_pfba
b4266,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995347,highs_pfba
b4265,,3,8,0.4962399415792551,0.4962399415792643,-9.214851104388801e-15,0,2.673507060206181e-05,747.9191570995422,highs_pfba
b0159,,3,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133817,398.2978723404256,highs_pfba
b3197,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133817,398.29787234042544,highs_pfba
b2708,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133817,398.29787234042544,highs_pfba
b1094,,26,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813373,398.2978723404267,highs_pfba
b4481,,1,8,0.4962399415792551,0.4962399415792586,-3.497202527569243e-15,0,2.6735070602036137e-05,747.9191570995381,highs_pfba
b1927,,1,8,0.4962399415792551,0.4962399415792551,0.0,0,2.6735070602018996e-05,747.9191570995355,highs_pfba
b3571,,1,8,0.4962399415792551,0.4962399415792551,0.0,0,2.6735070602018996e-05,747.9191570995355,highs_pfba
b2901,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b1302,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995399,highs_pfba
b2662,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995399,highs_pfba
b1444,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995372,highs_pfba
b2663,,1,0,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,0.0,747.9191570995367,highs_pfba
b2222,,3,0,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,0.0,747.9191570995365,highs_pfba
b2221,,3,0,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,0.0,747.9191570995365,highs_pfba
b2224,,1,454,0.4962399415792551,0.4839276977273588,0.0123122438518962,0,10.680600019028583,747.4138988520807,highs_pfba
b2342,,8,454,0.4962399415792551,0.4839276977273538,0.0123122438519012,0,10.680600019027032,747.4138988520747,highs_pfba
b3845,,8,454,0.4962399415792551,0.4839276977273538,0.0123122438519012,0,10.680600019027032,747.4138988520747,highs_pfba
b2223,,3,8,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.6735070603707374e-05,747.9191570995399,highs_pfba
b1241,,2,4,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,4.8983876525807286e-08,747.9191570995382,highs_pfba
b0351,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995397,highs_pfba
s0001,,39,424,0.4962399415792551,0.0,0.4962399415792551,1,20059.441999762763,0.0,infeasible
b1463,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b1993,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b2316,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813397,398.2978723404249,highs_pfba
b3255,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813397,398.2978723404249,highs_pfba
b0185,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813397,398.2978723404249,highs_pfba
b3256,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813397,398.2978723404249,highs_pfba
b4069,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.8983876518288215e-08,747.919157099538,highs_pfba
b1119,,1,0,0.4962399415792551,0.4962399415792585,-3.4416913763379853e-15,0,0.0,747.919157099539,highs_pfba
b3784,,1,8,0.4962399415792551,0.4962399415792586,-3.497202527569243e-15,0,2.6735070602028276e-05,747.919157099537,highs_pfba
b2415,,18,422,0.4962399415792551,0.4714279445002948,0.0248119970789602,0,792.1182126030407,768.7557910152871,highs_pfba
b0679,,1,4,0.4962399415792551,0.4962399415792551,0.0,0,4.898387650196823e-08,747.9191570995345,highs_pfba
b1101,,2,419,0.4962399415792551,0.47142794450029,0.024811997078965,0,397.61127917934095,760.146688345601,highs_pfba
b2417,,6,422,0.4962399415792551,0.47142794450029,0.024811997078965,0,509.9426357593069,760.1466883456008,highs_pfba
b2416,,19,422,0.4962399415792551,0.4714279445002948,0.0248119970789602,0,792.1182126030407,768.7557910152871,highs_pfba
b3959,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813381,398.2978723404256,highs_pfba
b2818,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813393,398.297872340425,highs_pfba
b0078,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133754,398.2978723404258,highs_pfba
b3670,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133754,398.2978723404258,highs_pfba
b3671,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133754,398.2978723404258,highs_pfba
b0077,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133754,398.2978723404258,highs_pfba
b3115,,2,430,0.4962399415792551,0.4008026516090865,0.0954372899701685,0,850.5564778526475,728.0771288836731,highs_pfba
b1849,,2,428,0.4962399415792551,0.4008026516090865,0.0954372899701685,0,850.5564562986533,728.0771288836688,highs_pfba
b2296,,1,430,0.4962399415792551,0.4008026516090865,0.0954372899701685,0,850.5564778526382,728.077128883673,highs_pfba
b2428,,1,4,0.4962399415792551,0.4962399415792585,-3.4416913763379853e-15,0,2.66860867255147e-05,747.9191570995383,highs_pfba
b3794,,1,8,0.4962399415792551,0.4962399415792586,-3.497202527569243e-15,0,2.6735070602028276e-05,747.919157099537,highs_pfba
b1818,,5,419,0.4962399415792551,0.47142794450029,0.024811997078965,0,397.6112791793258,760.1466883455967,highs_pfba
b1819,,5,419,0.4962399415792551,0.47142794450029,0.024811997078965,0,397.6112791793258,760.1466883455967,highs_pfba
b1817,,5,419,0.4962399415792551,0.47142794450029,0.024811997078965,0,397.6112791793258,760.1466883455967,highs_pfba
b2429,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b3224,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b4311,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b3225,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b0221,,8,453,0.4962399415792551,0.4839276977273639,0.0123122438518911,0,10.68193921493222,747.4138988520838,highs_pfba
b1091,,3,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.29787234042544,highs_pfba
b3957,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813386,398.2978723404253,highs_pfba
b3200,,9,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.29787234042544,highs_pfba
b4261,,9,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.29787234042544,highs_pfba
b3201,,9,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.29787234042544,highs_pfba
b4262,,9,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.29787234042544,highs_pfba
b3199,,9,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.29787234042544,highs_pfba
b1519,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b1276,,2,423,0.4962399415792551,-0.0,0.4962399415792551,1,4101.279799353859,409.090909090909,highs_pfba
b0118,,3,423,0.4962399415792551,-0.0,0.4962399415792551,1,4101.279799353859,409.090909090909,highs_pfba
b1748,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813384,398.2978723404258,highs_pfba
b3359,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813376,398.2978723404261,highs_pfba
b1090,,7,8,0.4962399415792551,0.4962399415792551,0.0,0,2.673507060202199e-05,747.9191570995362,highs_pfba
b3475,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b2563,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b2578,,2,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995399,highs_pfba
b1533,,2,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995399,highs_pfba
b4067,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.668608672551477e-05,747.9191570995399,highs_pfba
b1623,,2,4,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,4.898387653165526e-08,747.9191570995407,highs_pfba
b1096,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813375,398.297872340426,highs_pfba
b1812,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813381,398.2978723404258,highs_pfba
b3360,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133776,398.297872340426,highs_pfba
b3665,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995373,highs_pfba
b3654,,3,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995372,highs_pfba
b3714,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995372,highs_pfba
b0474,,13,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813382,398.2978723404256,highs_pfba
b0120,,1,4,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,4.8983876526937586e-08,747.9191570995392,highs_pfba
b3806,,1,8,0.4962399415792551,0.4962399415792551,0.0,0,2.673507060201236e-05,747.9191570995342,highs_pfba
b0030,,5,4,0.4962399415792551,0.4962399415792575,-2.4424906541753444e-15,0,4.898387651199575e-08,747.9191570995363,highs_pfba
b2393,,7,4,0.4962399415792551,0.4962399415792551,0.0,0,4.8983876504818564e-08,747.9191570995353,highs_pfba
b2964,,11,8,0.4962399415792551,0.4962399415792551,0.0,0,2.673507060202022e-05,747.9191570995356,highs_pfba
b2406,,6,4,0.4962399415792551,0.4962399415792575,-2.4424906541753444e-15,0,4.898387651226604e-08,747.9191570995362,highs_pfba
b0411,,7,4,0.4962399415792551,0.4962399415792596,-4.496403249731884e-15,0,4.8983876519664034e-08,747.9191570995373,highs_pfba
b1992,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b1709,,3,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b0158,,3,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b1711,,3,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b3966,,3,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b3005,,10,4,0.4962399415792551,0.4962399415792575,-2.4424906541753444e-15,0,4.8983876512290626e-08,747.9191570995364,highs_pfba
b3006,,10,4,0.4962399415792551,0.4962399415792575,-2.4424906541753444e-15,0,4.8983876512290626e-08,747.9191570995364,highs_pfba
b1252,,10,4,0.4962399415792551,0.4962399415792575,-2.4424906541753444e-15,0,4.8983876512290626e-08,747.9191570995364,highs_pfba
b3397,,1,8,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,2.6735070602044567e-05,747.91915709954,highs_pfba
b3034,,1,8,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,2.6735070602044567e-05,747.91915709954,highs_pfba
b0469,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995399,highs_pfba
b2750,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813372,398.2978723404261,highs_pfba
b1131,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813383,398.2978723404255,highs_pfba
b4177,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133713,398.297872340426,highs_pfba
b0677,,1,4,0.4962399415792551,0.4962399415792585,-3.4416913763379853e-15,0,4.898387651573157e-08,747.9191570995365,highs_pfba
b0110,,4,4,0.4962399415792551,0.4962399415792551,0.0,0,4.898387649990421e-08,747.919157099534,highs_pfba
b2817,,2,4,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,4.8983876526937586e-08,747.9191570995392,highs_pfba
b2435,,2,4,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,4.8983876526937586e-08,747.9191570995392,highs_pfba
b4169,,2,4,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,4.8983876526937586e-08,747.9191570995392,highs_pfba
b1107,,3,4,0.4962399415792551,0.4962399415792585,-3.4416913763379853e-15,0,4.898387651573157e-08,747.9191570995365,highs_pfba
b0433,,3,0,0.4962399415792551,0.4962399415792585,-3.4416913763379853e-15,0,0.0,747.9191570995392,highs_pfba
b3619,,1,4,0.4962399415792551,0.4962399415792576,-2.4980018054066026e-15,0,2.668608672551465e-05,747.9191570995335,highs_pfba
b2937,,1,8,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.6735070602034927e-05,747.9191570995373,highs_pfba
b3018,,7,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813381,398.29787234042567,highs_pfba
b3958,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813393,398.297872340425,highs_pfba
b0575,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b0572,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b0573,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b0574,,2,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b4006,,2,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813383,398.2978723404255,highs_pfba
b0522,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813381,398.2978723404256,highs_pfba
b0523,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.843283813388,398.2978723404264,highs_pfba
b0727,,1,418,0.4962399415792551,0.4845824693371725,0.0116574722420826,0,40.61983685603201,748.0950458007776,highs_pfba
b0116,,3,429,0.4962399415792551,0.4078149720736065,0.0884249695056486,0,1519.404910008447,730.8161602055701,highs_pfba
b0726,,1,418,0.4962399415792551,0.4845824693371725,0.0116574722420826,0,40.61983685603201,748.0950458007776,highs_pfba
b2587,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995408,highs_pfba
b1488,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.919157099539,highs_pfba
b3542,,3,8,0.4962399415792551,0.4962399415792574,-2.3314683517128287e-15,0,2.673507060203136e-05,747.9191570995368,highs_pfba
b1486,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995403,highs_pfba
b1485,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995403,highs_pfba
b3543,,3,8,0.4962399415792551,0.4962399415792574,-2.3314683517128287e-15,0,2.673507060203136e-05,747.9191570995368,highs_pfba
b3541,,3,8,0.4962399415792551,0.4962399415792574,-2.3314683517128287e-15,0,2.673507060203136e-05,747.9191570995368,highs_pfba
b1484,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995403,highs_pfba
b3540,,3,8,0.4962399415792551,0.4962399415792574,-2.3314683517128287e-15,0,2.673507060203136e-05,747.9191570995368,highs_pfba
b3544,,3,8,0.4962399415792551,0.4962399415792574,-2.3314683517128287e-15,0,2.673507060203136e-05,747.9191570995368,highs_pfba
b1483,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995403,highs_pfba
b1487,,1,0,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,0.0,747.9191570995403,highs_pfba
b0092,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133817,398.2978723404256,highs_pfba
b0381,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.8432838133817,398.2978723404256,highs_pfba
b1325,,1,0,0.4962399415792551,0.4962399415792596,-4.496403249731884e-15,0,0.0,747.919157099537,highs_pfba
b1190,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.84328381338,398.2978723404256,highs_pfba
b4053,,1,424,0.4962399415792551,-0.0,0.4962399415792551,1,3743.84328381338,398.2978723404256,highs_pfba
b2551,,6,417,0.4962399415792551,0.4796323631366265,0.0166075784426286,0,9.223109434364329,752.3854368093638,highs_pfba
b0870,,4,4,0.4962399415792551,0.4962399415792599,-4.829470157119431e-15,0,4.8983876529689616e-08,747.9191570995398,highs_pfba
b2379,,1,3,0.4962399415792551,0.496239941579262,-6.9388939039072276e-15,0,0.2496830189910343,748.2076491670174,highs_pfba
b2290,,1,3,0.4962399415792551,0.496239941579262,-6.9388939039072276e-15,0,0.2496830189910343,748.2076491670174,highs_pfba
b2697,,1,0,0.4962399415792551,0.4962399415792551,0.0,0,0.0,747.9191570995343,highs_pfba
b3460,,5,8,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.673507060204476e-05,747.91915709954,highs_pfba
b3456,,5,8,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.673507060204476e-05,747.91915709954,highs_pfba
b3457,,5,8,0.4962399415792551,0.4962399415792598,-4.718447854656915e-15,0,2.673507060204476e-05,747.91915709954,highs_pfba
