gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str
b3008,2,429,0.8217979336265955,-1.002558004830554e-15,0.8217979336265965,1,15051.477423818416,b3008
b3708,3,320,0.8217979336265955,0.8213329430369404,0.000464990589655101,0,21.279640442220895,b3708
b1134,3,23,0.8217979336265955,0.8217979336265735,2.19824158875781e-14,0,21.541941973280768,b1134
b3614,3,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b3614
b3642,1,429,0.8217979336265955,-5.01279002415277e-16,0.821797933626596,1,15051.4774238184,b3642
b0415,1,429,0.8217979336265955,0.0,0.8217979336265955,1,15051.477423819502,b0415
b3771,2,429,0.8217979336265955,0.0,0.8217979336265955,1,15051.477423819644,b3771
b3885,1,23,0.8217979336265955,0.8217979336265973,-1.7763568394002505e-15,0,21.541941973281613,b3885
b2293,8,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b2293
b3114,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b3114
b3951,1,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b3951
b3952,1,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b3952
b0902,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b0902
b0903,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b0903
b2579,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b2579
b4154,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4154
b4151,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4151
b4153,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4153
b4152,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4152
b0871,1,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b0871
b2458,1,413,0.8217979336265955,0.8095508390544544,0.012247094572141126,0,54.32113598103784,b2458
b2297,2,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b2297
b3115,2,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b3115
b2296,1,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b2296
b1849,2,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b1849
b3633,2,442,0.8217979336265955,2.4367434626549745e-16,0.8217979336265953,1,5146.85100407056,b3633
b0174,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.851004070694,b0174
b0524,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.8510040706915,b0524
b0182,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.8510040706005,b0182
b0915,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.85100407077,b0915
b0099,3,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.851004070638,b0099
b2781,8,73,0.8217979336265955,0.8217979336265905,4.9960036108132044e-15,0,21.538367669258612,b2781
b0160,2,73,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.538367669258943,b0160
b1800,2,429,0.8217979336265955,-2.9636265413300766e-16,0.8217979336265958,1,15051.47742381962,b1800
b0073,1,429,0.8217979336265955,0.0,0.8217979336265955,1,15051.47742381963,b0073
b0523,1,429,0.8217979336265955,4.222544787022274e-14,0.8217979336265533,1,15051.477423818093,b0523
b1131,2,429,0.8217979336265955,3.1018124036680524e-14,0.8217979336265645,1,15051.477423818153,b1131
b2407,5,73,0.8217979336265955,0.8217979336265827,1.27675647831893e-14,0,21.538367669258243,b2407
b2234,4,73,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.538367669258943,b2234
b2235,4,73,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.538367669258943,b2235
b3781,10,78,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.745185190310583,b3781
b2582,10,78,0.8217979336265955,0.8217979336265803,1.5210055437364645e-14,0,21.74518519030985,b2582
b2827,1,429,0.8217979336265955,9.613598291555165e-16,0.8217979336265945,1,15051.47742381853,b2827
b1238,2,78,0.8217979336265955,0.8217979336265979,-2.4424906541753444e-15,0,21.74518519031047,b1238
b3639,2,429,0.8217979336265955,9.613598291555165e-16,0.8217979336265945,1,15051.477423818544,b3639
b1232,1,28,0.8217979336265955,0.8217979336265963,-7.771561172376096e-16,0,21.748759494333196,b1232
b1851,1,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b1851
b1693,1,429,0.8217979336265955,1.891102317307412e-14,0.8217979336265766,1,15051.477423818716,b1693
b4146,1,28,0.8217979336265955,0.8217979336265949,5.551115123125783e-16,0,21.74875949433321,b4146
b1109,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b1109
b1004,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b1004
b0046,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b0046
b3713,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b3713
b3236,1,418,0.8217979336265955,0.7915641531594004,0.03023378046719505,0,118.71622325044788,b3236
b4122,2,446,0.8217979336265955,0.7565406542490815,0.06525727937751402,0,2864.52346798927,b4122
