gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
b4265,,3,4,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,2.6256468450257764e-06,
b0159,,3,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329704,
b3197,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296945,
b2708,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296974,
b1094,,26,422,0.15565655936741177,0.0,0.15565655936741177,1,372.959407732967,
b4481,,1,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025779e-06,
b1927,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.6256468450257785e-06,
b3571,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b2901,,1,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b1302,,1,8,0.15565655936741177,0.15565655936741205,-2.7755575615628914e-16,0,2.6304663737234165e-06,
b2662,,1,8,0.15565655936741177,0.15565655936741205,-2.7755575615628914e-16,0,2.6304663737234165e-06,
b1444,,1,4,0.15565655936741177,0.15565655936741146,3.0531133177191805e-16,0,2.625646845025774e-06,
b2663,,1,4,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,2.625646845025775e-06,
b2222,,3,8,0.15565655936741177,0.15565655936741196,-1.942890293094024e-16,0,2.630466373722868e-06,
b2221,,3,8,0.15565655936741177,0.15565655936741196,-1.942890293094024e-16,0,2.630466373722868e-06,
b2224,,1,133,0.15565655936741177,0.15565655936741177,0.0,0,1.2023650866986513,
b2342,,8,133,0.15565655936741177,0.15565655936741177,0.0,0,1.2023650866985869,
b3845,,8,133,0.15565655936741177,0.15565655936741177,0.0,0,1.2023650866985869,
b2223,,3,8,0.15565655936741177,0.1556565593674116,1.6653345369377348e-16,0,2.630466373723187e-06,
b1241,,2,8,0.15565655936741177,0.15565655936741166,1.1102230246251565e-16,0,2.630466373724836e-06,
b0351,,1,8,0.15565655936741177,0.15565655936741196,-1.942890293094024e-16,0,2.630466373723429e-06,
s0001,,39,425,0.15565655936741177,0.0,0.15565655936741177,1,537.2629688570507,
b1463,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1993,,2,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.6256468450257785e-06,
b2316,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296917,
b3255,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329695,
b0185,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329699,
b3256,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329691,
b4069,,2,0,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,0.0,
b1119,,1,4,0.15565655936741177,0.1556565593674124,-6.38378239159465e-16,0,2.62564684502579e-06,
b3784,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b2415,,18,68,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,15.544714072475243,
b0679,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1101,,2,66,0.15565655936741177,0.15565655936741177,0.0,0,15.621134256295603,
b2417,,6,66,0.15565655936741177,0.15565655936741177,0.0,0,15.621134256296035,
b2416,,19,68,0.15565655936741177,0.1556565593674116,1.6653345369377348e-16,0,15.544714072474658,
b3959,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329695,
b2818,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296945,
b0078,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329687,
b3670,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329695,
b3671,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773297,
b0077,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329701,
b3115,,2,0,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,0.0,
b1849,,2,55,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,4.447390610001201e-06,
b2296,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b2428,,1,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b3794,,1,4,0.15565655936741177,0.15565655936741166,1.1102230246251565e-16,0,2.625646845025777e-06,
b1818,,5,66,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,15.621134256295827,
b1819,,5,66,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,15.621134256295827,
b1817,,5,66,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,15.621134256295827,
b2429,,2,4,0.15565655936741177,0.15565655936741166,1.1102230246251565e-16,0,2.6256468450257776e-06,
b3224,,1,4,0.15565655936741177,0.1556565593674113,4.718447854656915e-16,0,2.6256468450257713e-06,
b4311,,1,8,0.15565655936741177,0.15565655936741177,0.0,0,2.630466373722467e-06,
b3225,,1,4,0.15565655936741177,0.1556565593674113,4.718447854656915e-16,0,2.6256468450257713e-06,
