gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,422,0.25916645846956465,0.0,0.25916645846956465,1,1305.216463212706
b2215,,271,422,0.25916645846956465,0.0,0.25916645846956465,1,1305.216463212706
b0929,,271,422,0.25916645846956465,0.0,0.25916645846956465,1,1305.216463212706
b0241,,270,422,0.25916645846956465,0.0,0.25916645846956465,1,1305.216463212706
b4034,,6,6,0.25916645846956465,0.25916645846967695,-1.1229905894083458e-13,0,15.408868936870679
b4033,,6,0,0.25916645846956465,0.2591664584695986,-3.397282455352979e-14,0,0.0
b4032,,6,0,0.25916645846956465,0.2591664584695986,-3.397282455352979e-14,0,0.0
b4035,,6,0,0.25916645846956465,0.2591664584695986,-3.397282455352979e-14,0,0.0
b4036,,7,6,0.25916645846956465,0.2591664584696064,-4.1744385725905886e-14,0,15.408868936866629
b4213,,8,4,0.25916645846956465,0.2591664584695595,5.162537064506978e-15,0,1.336064133868955e-08
b2835,,21,0,0.25916645846956465,0.2591664584695982,-3.352873534367973e-14,0,0.0
b2836,,23,126,0.25916645846956465,0.2591664584695922,-2.7533531010703882e-14,0,3.333181514386266
b3553,,10,0,0.25916645846956465,0.25916645846952135,4.3298697960381105e-14,0,0.0
b1134,,2,4,0.25916645846956465,0.25916645846961145,-4.679590048795035e-14,0,1.3360641344549873e-08
b0446,,2,0,0.25916645846956465,0.25916645846960645,-4.1799896877137144e-14,0,0.0
b1009,,1,0,0.25916645846956465,0.2591664584695729,-8.271161533457416e-15,0,0.0
b0954,,13,4,0.25916645846956465,0.2591664584696195,-5.484501741648273e-14,0,1.3360641369715261e-08
b0180,,14,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b0347,,2,0,0.25916645846956465,0.259166458469638,-7.333023077649159e-14,0,0.0
b3580,,2,0,0.25916645846956465,0.2591664584695967,-3.2029934260435766e-14,0,0.0
b1093,,14,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b2323,,13,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736161
b1095,,9,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736168
b1397,,2,0,0.25916645846956465,0.2591664584696184,-5.3734794391857577e-14,0,0.0
b1245,,2,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b1244,,2,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b1329,,1,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b1246,,2,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b1247,,2,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b1386,,3,0,0.25916645846956465,0.2591664584696032,-3.852473895449293e-14,0,0.0
b0004,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736166
b1192,,4,4,0.25916645846956465,0.2591664584695873,-2.2648549702353193e-14,0,7.278787611032869e-06
b1243,,1,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b4266,,1,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b4265,,3,0,0.25916645846956465,0.25916645846959774,-3.3084646133829665e-14,0,0.0
b0159,,3,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736186
b3197,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b2708,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736177
b1094,,26,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736127
b4481,,1,0,0.25916645846956465,0.25916645846956143,3.219646771412954e-15,0,0.0
b1927,,1,0,0.25916645846956465,0.2591664584696126,-4.796163466380676e-14,0,0.0
b3571,,1,0,0.25916645846956465,0.25916645846963493,-7.027711745877241e-14,0,0.0
b2901,,1,0,0.25916645846956465,0.25916645846968644,-1.2179146580137967e-13,0,0.0
b1302,,1,4,0.25916645846956465,0.2591664584696197,-5.5067062021407764e-14,0,1.3360641367303302e-08
b2662,,1,4,0.25916645846956465,0.2591664584696197,-5.5067062021407764e-14,0,1.3360641367303302e-08
b1444,,1,0,0.25916645846956465,0.2591664584696218,-5.71209746169643e-14,0,0.0
b2663,,1,0,0.25916645846956465,0.25916645846959036,-2.5701663020072374e-14,0,0.0
b2222,,3,4,0.25916645846956465,0.25916645846962866,-6.400435736964027e-14,0,1.336064137284423e-08
b2221,,3,4,0.25916645846956465,0.25916645846962866,-6.400435736964027e-14,0,1.336064137284423e-08
b2224,,1,129,0.25916645846956465,0.2591664584696188,-5.412337245047638e-14,0,3.333175214360534
b2342,,8,129,0.25916645846956465,0.25916645846961267,-4.801714581503802e-14,0,3.333175214358937
b3845,,8,129,0.25916645846956465,0.25916645846961267,-4.801714581503802e-14,0,3.333175214358937
b2223,,3,4,0.25916645846956465,0.25916645846960634,-4.168887457467463e-14,0,1.336064135895704e-08
b1241,,2,4,0.25916645846956465,0.2591664584696772,-1.1252110354575962e-13,0,1.336064139171342e-08
b0351,,1,4,0.25916645846956465,0.25916645846959824,-3.3584246494910985e-14,0,1.3360641355438695e-08
s0001,,39,425,0.25916645846956465,0.0,0.25916645846956465,1,1228.692037131663
b1463,,1,0,0.25916645846956465,0.25916645846965974,-9.509060205914466e-14,0,0.0
b1993,,2,0,0.25916645846956465,0.2591664584695966,-3.191891195797325e-14,0,0.0
b2316,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736166
b3255,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b0185,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573618
b3256,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736166
b4069,,2,4,0.25916645846956465,0.2591664584695968,-3.214095656289828e-14,0,7.278787611033135e-06
b1119,,1,0,0.25916645846956465,0.2591664584695966,-3.191891195797325e-14,0,0.0
b3784,,1,0,0.25916645846956465,0.2591664584696753,-1.1063372440389685e-13,0,0.0
b2415,,18,64,0.25916645846956465,0.2591664584696319,-6.722400414105323e-14,0,38.14985196456596
b0679,,1,0,0.25916645846956465,0.2591664584695824,-1.7763568394002505e-14,0,0.0
b1101,,2,62,0.25916645846956465,0.25916645846955433,1.0325074129013956e-14,0,39.8946178598125
b2417,,6,62,0.25916645846956465,0.2591664584696066,-4.196643033083092e-14,0,39.89461785983047
b2416,,19,64,0.25916645846956465,0.25916645846961833,-5.367928324062632e-14,0,38.149851964557264
b3959,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736173
b2818,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b0078,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573616
b3670,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b3671,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736182
b0077,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573618
b3115,,2,4,0.25916645846956465,0.259166458469577,-1.2323475573339238e-14,0,7.278787611032598e-06
b1849,,2,56,0.25916645846956465,0.259166458469598,-3.3362201889985954e-14,0,5.050225621536008e-06
b2296,,1,0,0.25916645846956465,0.2591664584696307,-6.605826996519681e-14,0,0.0
b2428,,1,0,0.25916645846956465,0.2591664584695907,-2.603472992745992e-14,0,0.0
b3794,,1,0,0.25916645846956465,0.2591664584696087,-4.4020342926387457e-14,0,0.0
b1818,,5,62,0.25916645846956465,0.25916645846959135,-2.6700863742235015e-14,0,39.89461785982595
b1819,,5,62,0.25916645846956465,0.25916645846959135,-2.6700863742235015e-14,0,39.89461785982595
b1817,,5,62,0.25916645846956465,0.25916645846959135,-2.6700863742235015e-14,0,39.89461785982595
b2429,,2,0,0.25916645846956465,0.259166458469643,-7.83262343873048e-14,0,0.0
b3224,,1,0,0.25916645846956465,0.2591664584696307,-6.605826996519681e-14,0,0.0
b4311,,1,4,0.25916645846956465,0.25916645846961056,-4.590772206825022e-14,0,1.3360641359806574e-08
b3225,,1,0,0.25916645846956465,0.2591664584696307,-6.605826996519681e-14,0,0.0
b0221,,8,129,0.25916645846956465,0.2591664584696325,-6.783462680459706e-14,0,3.3331752143627966
b1091,,3,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736161
b3957,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736161
b3200,,9,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573616
b4261,,9,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736148
b3201,,9,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736168
b4262,,9,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736175
b3199,,9,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736173
b1519,,1,0,0.25916645846956465,0.259166458469634,-6.933342788784103e-14,0,0.0
b1276,,2,423,0.25916645846956465,0.0,0.25916645846956465,1,1081.9247989578605
b0118,,3,423,0.25916645846956465,0.0,0.25916645846956465,1,1081.9247989578607
b1748,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736166
b3359,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573619
b1090,,7,0,0.25916645846956465,0.2591664584696409,-7.627232179174825e-14,0,0.0
b3475,,1,0,0.25916645846956465,0.25916645846962777,-6.311617894994015e-14,0,0.0
b2563,,1,0,0.25916645846956465,0.25916645846962777,-6.311617894994015e-14,0,0.0
b2578,,2,0,0.25916645846956465,0.25916645846958036,-1.5709655798445965e-14,0,0.0
b1533,,2,0,0.25916645846956465,0.25916645846958036,-1.5709655798445965e-14,0,0.0
b4067,,2,0,0.25916645846956465,0.25916645846956465,0.0,0,0.0
b1623,,2,0,0.25916645846956465,0.25916645846961955,-5.490052856771399e-14,0,0.0
b1096,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.415085573617
b1812,,2,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736175
b3360,,1,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736184
b3665,,1,8,0.25916645846956465,0.25916645846960257,-3.7914116290949096e-14,0,7.292148252391047e-06
b3654,,3,4,0.25916645846956465,0.2591664584696048,-4.013456234019941e-14,0,1.3360641355329088e-08
b3714,,1,4,0.25916645846956465,0.2591664584696048,-4.013456234019941e-14,0,1.3360641355329088e-08
b0474,,13,422,0.25916645846956465,0.0,0.25916645846956465,1,1036.4150855736168
b0120,,1,4,0.25916645846956465,0.25916645846958664,-2.19824158875781e-14,0,7.2787876110328485e-06
b3806,,1,0,0.25916645846956465,0.259166458469598,-3.3362201889985954e-14,0,0.0
