level,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
glu_-10,b1377,270,437,0.9258552865966756,0.0,0.9258552865966756,1,9133.059130136264
glu_-10,b2215,271,437,0.9258552865966756,0.0,0.9258552865966756,1,9133.059130136264
glu_-10,b0929,271,437,0.9258552865966756,0.0,0.9258552865966756,1,9133.059130136264
glu_-10,b0241,270,437,0.9258552865966756,0.0,0.9258552865966756,1,9133.059130136264
glu_-10,b4034,6,6,0.9258552865966756,0.925855286596655,2.0650148258027912e-14,0,50.89348759002984
glu_-10,b4033,6,8,0.9258552865966756,0.9258552865966404,3.5083047578154947e-14,0,16.383354321967687
glu_-10,b4032,6,8,0.9258552865966756,0.9258552865966404,3.5083047578154947e-14,0,16.383354321967687
glu_-10,b4035,6,8,0.9258552865966756,0.9258552865966404,3.5083047578154947e-14,0,16.383354321967687
glu_-10,b4036,7,6,0.9258552865966756,0.9258552865966404,3.5083047578154947e-14,0,34.51013360908759
glu_-10,b4213,8,8,0.9258552865966756,0.9258552865966586,1.6986412276764895e-14,0,16.38335432196816
glu_-10,b2835,21,8,0.9258552865966756,0.9258552865966586,1.6986412276764895e-14,0,16.383354321968184
glu_-10,b2836,23,120,0.9258552865966756,0.9258552865966376,3.7969627442180354e-14,0,53.45531506828981
glu_-10,b3553,10,8,0.9258552865966756,0.9258552865967332,-5.773159728050814e-14,0,16.383354321966436
glu_-10,b1134,2,4,0.9258552865966756,0.9258552865967332,-5.773159728050814e-14,0,16.3833541514532
glu_-10,b0446,2,4,0.9258552865966756,0.9258552865967332,-5.773159728050814e-14,0,1.7051238883483664e-07
glu_-10,b1009,1,0,0.9258552865966756,0.9258552865967332,-5.773159728050814e-14,0,0.0
glu_-10,b0954,13,4,0.9258552865966756,0.92585528659673,-5.428990590417016e-14,0,1.7051238872577678e-07
glu_-10,b0180,14,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b0347,2,0,0.9258552865966756,0.9258552865966808,-5.218048215738236e-15,0,0.0
glu_-10,b3580,2,4,0.9258552865966756,0.925855286596665,1.0547118733938987e-14,0,1.7051238873182224e-07
glu_-10,b1093,14,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b2323,13,442,0.9258552865966756,-1.298049771143582e-14,0.9258552865966886,1,8471.082587403615
glu_-10,b1095,9,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b1397,2,0,0.9258552865966756,0.9258552865965504,1.2534417948018017e-13,0,0.0
glu_-10,b1245,2,0,0.9258552865966756,0.9258552865966642,1.1435297153639112e-14,0,0.0
glu_-10,b1244,2,0,0.9258552865966756,0.9258552865966642,1.1435297153639112e-14,0,0.0
glu_-10,b1329,1,0,0.9258552865966756,0.9258552865966642,1.1435297153639112e-14,0,0.0
glu_-10,b1246,2,0,0.9258552865966756,0.9258552865966642,1.1435297153639112e-14,0,0.0
glu_-10,b1247,2,0,0.9258552865966756,0.9258552865966642,1.1435297153639112e-14,0,0.0
glu_-10,b1386,3,0,0.9258552865966756,0.9258552865966642,1.1435297153639112e-14,0,0.0
glu_-10,b0004,2,442,0.9258552865966756,2.535231511501352e-16,0.9258552865966754,1,8471.082587403613
glu_-10,b1192,4,0,0.9258552865966756,0.9258552865966816,-5.9952043329758445e-15,0,0.0
glu_-10,b1243,1,0,0.9258552865966756,0.9258552865966696,5.9952043329758445e-15,0,0.0
glu_-10,b4266,1,0,0.9258552865966756,0.9258552865966696,5.9952043329758445e-15,0,0.0
glu_-10,b4265,3,8,0.9258552865966756,0.9258552865966696,5.9952043329758445e-15,0,16.383354321966515
glu_-10,b0159,3,442,0.9258552865966756,-7.263940092145728e-13,0.925855286597402,1,8471.082587403615
glu_-10,b3197,1,442,0.9258552865966756,-2.4590195290935135e-14,0.9258552865967,1,8471.082587403615
glu_-10,b2708,1,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403616
glu_-10,b1094,26,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b4481,1,0,0.9258552865966756,0.925855286596682,-6.3282712403633915e-15,0,0.0
glu_-10,b1927,1,4,0.9258552865966756,0.92585528659665,2.55351295663786e-14,0,16.383354151456153
glu_-10,b3571,1,4,0.9258552865966756,0.92585528659665,2.55351295663786e-14,0,16.38335415145245
glu_-10,b2901,1,0,0.9258552865966756,0.92585528659665,2.55351295663786e-14,0,0.0
glu_-10,b1302,1,8,0.9258552865966756,0.92585528659665,2.55351295663786e-14,0,16.383354321967456
glu_-10,b2662,1,8,0.9258552865966756,0.92585528659665,2.55351295663786e-14,0,16.383354321967456
glu_-10,b1444,1,0,0.9258552865966756,0.92585528659665,2.55351295663786e-14,0,0.0
glu_-10,b2663,1,4,0.9258552865966756,0.9258552865966436,3.2085445411667024e-14,0,1.7051238875204807e-07
glu_-10,b2222,3,0,0.9258552865966756,0.9258552865966808,-5.218048215738236e-15,0,0.0
glu_-10,b2221,3,0,0.9258552865966756,0.9258552865966808,-5.218048215738236e-15,0,0.0
glu_-10,b2224,1,119,0.9258552865966756,0.9258552865966816,-5.8841820305133305e-15,0,37.96179599868724
glu_-10,b2342,8,119,0.9258552865966756,0.9258552865966464,2.90878432451791e-14,0,37.96179599867912
glu_-10,b3845,8,119,0.9258552865966756,0.9258552865966504,2.5313084961453572e-14,0,37.96179599867912
glu_-10,b2223,3,0,0.9258552865966756,0.9258552865966504,2.5313084961453572e-14,0,0.0
glu_-10,b1241,2,4,0.9258552865966756,0.9258552865966504,2.5313084961453572e-14,0,1.7051238999439224e-07
glu_-10,b0351,1,8,0.9258552865966756,0.9258552865966504,2.5313084961453572e-14,0,16.383354321969993
glu_-10,s0001,39,444,0.9258552865966756,2.0997274003700082e-31,0.9258552865966756,1,9050.367581560591
glu_-10,b1463,1,4,0.9258552865966756,0.9258552865936122,3.0634383918481944e-12,0,1.705123888540093e-07
glu_-10,b1993,2,0,0.9258552865966756,0.9258552865966592,1.6431300764452317e-14,0,0.0
glu_-10,b2316,1,442,0.9258552865966756,-2.6561047095187892e-14,0.925855286596702,1,8471.082587403615
glu_-10,b3255,1,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403616
glu_-10,b0185,1,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403616
glu_-10,b3256,1,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403616
glu_-10,b4069,2,0,0.9258552865966756,0.92585528659665,2.564615186884112e-14,0,0.0
glu_-10,b1119,1,0,0.9258552865966756,0.9258552865966287,4.6851411639181606e-14,0,0.0
glu_-10,b3784,1,4,0.9258552865966756,0.9258552865966287,4.6851411639181606e-14,0,1.7051238879695145e-07
glu_-10,b2415,18,64,0.9258552865966756,0.9258552865966164,5.928590951498336e-14,0,88.40367288527364
glu_-10,b0679,1,4,0.9258552865966756,0.925855286596666,9.658940314238862e-15,0,16.383354151455002
glu_-10,b1101,2,56,0.9258552865966756,0.925855286596666,9.658940314238862e-15,0,131.91866533822977
glu_-10,b2417,6,54,0.9258552865966756,0.925855286596666,9.658940314238862e-15,0,118.24081471438276
glu_-10,b2416,19,64,0.9258552865966756,0.925855286596666,9.658940314238862e-15,0,88.40367288524286
glu_-10,b3959,1,442,0.9258552865966756,-1.486545914936948e-15,0.925855286596677,1,8471.082587403615
glu_-10,b2818,1,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403616
glu_-10,b0078,2,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b3670,2,442,0.9258552865966756,2.135817360002628e-15,0.9258552865966736,1,8471.082587403616
glu_-10,b3671,2,442,0.9258552865966756,2.135817360002628e-15,0.9258552865966736,1,8471.082587403615
glu_-10,b0077,2,442,0.9258552865966756,2.135817360002628e-15,0.9258552865966736,1,8471.082587403615
glu_-10,b3115,2,67,0.9258552865966756,0.9258552865966668,8.770761894538737e-15,0,510.4191227507163
glu_-10,b1849,2,70,0.9258552865966756,0.925855286596705,-2.9420910152566655e-14,0,510.4197049506003
glu_-10,b2296,1,67,0.9258552865966756,0.925855286596705,-2.9420910152566655e-14,0,510.4191227507295
glu_-10,b2428,1,4,0.9258552865966756,0.925855286596705,-2.9420910152566655e-14,0,16.38335415145326
glu_-10,b3794,1,0,0.9258552865966756,0.925855286596705,-2.9420910152566655e-14,0,0.0
glu_-10,b1818,5,54,0.9258552865966756,0.925855286596702,-2.642330798607873e-14,0,118.24081471437816
glu_-10,b1819,5,54,0.9258552865966756,0.9258552865966708,4.884981308350689e-15,0,118.24081471437816
glu_-10,b1817,5,54,0.9258552865966756,0.9258552865966708,4.884981308350689e-15,0,118.24081471437816
glu_-10,b2429,2,8,0.9258552865966756,0.9258552865966708,4.884981308350689e-15,0,16.383354321966547
glu_-10,b3224,1,0,0.9258552865966756,0.9258552865966708,4.884981308350689e-15,0,0.0
glu_-10,b4311,1,4,0.9258552865966756,0.9258552865966708,4.884981308350689e-15,0,16.383354151454476
glu_-10,b3225,1,0,0.9258552865966756,0.9258552865966708,4.884981308350689e-15,0,0.0
glu_-10,b0221,8,123,0.9258552865966756,0.9258552865966708,4.773959005888173e-15,0,38.99249596510102
glu_-10,b1091,3,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b3957,2,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403613
glu_-10,b3200,9,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b4261,9,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403613
glu_-10,b3201,9,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.08258740361
glu_-10,b4262,9,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403613
glu_-10,b3199,9,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b1519,1,0,0.9258552865966756,0.9258552865966724,3.3306690738754696e-15,0,0.0
glu_-10,b1276,2,4,0.9258552865966756,0.9258552865966542,2.142730437526552e-14,0,1.705123886115148e-07
glu_-10,b0118,3,4,0.9258552865966756,0.9258552865966542,2.142730437526552e-14,0,1.7051238890541733e-07
glu_-10,b1748,2,442,0.9258552865966756,1.2142907404817163e-16,0.9258552865966756,1,8471.082587403613
glu_-10,b3359,2,442,0.9258552865966756,0.0,0.9258552865966756,1,8471.082587403615
glu_-10,b1090,7,4,0.9258552865966756,0.9258552865966492,2.642330798607873e-14,0,16.38335415145353
glu_-10,b3475,1,4,0.9258552865966756,0.9258552865966312,4.4519943287468784e-14,0,1.7051238865606205e-07
