gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b1377,,270,443,0.6947359182109596,0.0,0.6947359182109596,1,18670.973569978538
b2215,,271,443,0.6947359182109596,0.0,0.6947359182109596,1,18670.973569978538
b0929,,271,443,0.6947359182109596,0.0,0.6947359182109596,1,18670.973569978538
b0241,,270,443,0.6947359182109596,0.0,0.6947359182109596,1,18670.973569978538
b4034,,6,8,0.6947359182109596,0.6947359182109515,8.104628079763643e-15,0,5.240073838013492e-05
b4033,,6,6,0.6947359182109596,0.6947359182109605,-8.881784197001252e-16,0,200.00005230472996
b4032,,6,6,0.6947359182109596,0.6947359182109605,-8.881784197001252e-16,0,200.00005230472996
b4035,,6,6,0.6947359182109596,0.6947359182109605,-8.881784197001252e-16,0,200.00005230472996
b4036,,7,8,0.6947359182109596,0.6947359182109749,-1.532107773982716e-14,0,5.2400738380018776e-05
b4213,,8,10,0.6947359182109596,0.6947359182109695,-9.880984919163893e-15,0,200.00005240074276
b2835,,21,6,0.6947359182109596,0.6947359182109631,-3.552713678800501e-15,0,200.00005230472996
b2836,,23,455,0.6947359182109596,0.677498776818292,0.017237141392667632,0,220.93384376427196
b3553,,10,6,0.6947359182109596,0.6947359182109665,-6.8833827526759706e-15,0,200.0000523047372
b1134,,2,10,0.6947359182109596,0.6947359182109603,-6.661338147750939e-16,0,200.00005240073384
b0446,,2,6,0.6947359182109596,0.6947359182109684,-8.770761894538737e-15,0,200.00005230472996
b1009,,1,6,0.6947359182109596,0.6947359182109414,1.8207657603852567e-14,0,200.00005230473727
b0954,,13,6,0.6947359182109596,0.6947359182109886,-2.8976820942716586e-14,0,200.0000523047459
b0180,,14,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595426
b0347,,2,2,0.6947359182109596,0.6947359182109604,-7.771561172376096e-16,0,200.0
b3580,,2,6,0.6947359182109596,0.6947359182109831,-2.353672812205332e-14,0,200.00005230469964
b1093,,14,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595494
b2323,,13,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595456
b1095,,9,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595488
b1397,,2,2,0.6947359182109596,0.6947359182108719,8.770761894538737e-14,0,199.99999999998394
b1245,,2,6,0.6947359182109596,0.6947359182109701,-1.0547118733938987e-14,0,200.00005230473508
b1244,,2,6,0.6947359182109596,0.6947359182109701,-1.0547118733938987e-14,0,200.00005230473508
b1329,,1,6,0.6947359182109596,0.6947359182109701,-1.0547118733938987e-14,0,200.00005230473508
b1246,,2,6,0.6947359182109596,0.6947359182109701,-1.0547118733938987e-14,0,200.00005230473508
b1247,,2,6,0.6947359182109596,0.6947359182109701,-1.0547118733938987e-14,0,200.00005230473508
b1386,,3,6,0.6947359182109596,0.6947359182109688,-9.2148511043888e-15,0,200.00005230471874
b0004,,2,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595504
b1192,,4,6,0.6947359182109596,0.6947359182109633,-3.6637359812630166e-15,0,200.00005230472965
b1243,,1,6,0.6947359182109596,0.6947359182109701,-1.0547118733938987e-14,0,200.00005230473508
b4266,,1,6,0.6947359182109596,0.6947359182109698,-1.021405182655144e-14,0,200.0000523047333
b4265,,3,10,0.6947359182109596,0.6947359182110041,-4.451994328746878e-14,0,200.00005240073838
b0159,,3,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595485
b3197,,1,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.88058859551
b2708,,1,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.880588595499
b1094,,26,444,0.6947359182109596,0.0,0.6947359182109596,1,6896.88058859553
b4481,,1,6,0.6947359182109596,0.6947359182109694,-9.769962616701378e-15,0,200.00005230474454
b1927,,1,6,0.6947359182109596,0.6947359182109699,-1.0325074129013956e-14,0,200.00005230472996
b3571,,1,6,0.6947359182109596,0.694735918210959,5.551115123125783e-16,0,200.00005230473613
b2901,,1,6,0.6947359182109596,0.6947359182109692,-9.658940314238862e-15,0,200.00005230473138
b1302,,1,6,0.6947359182109596,0.6947359182109851,-2.55351295663786e-14,0,200.0000523047598
b2662,,1,6,0.6947359182109596,0.6947359182109851,-2.55351295663786e-14,0,200.0000523047598
b1444,,1,6,0.6947359182109596,0.694735918210962,-2.4424906541753444e-15,0,200.00005230473045
b2663,,1,6,0.6947359182109596,0.6947359182109661,-6.5503158452884236e-15,0,200.00005230473494
