fe_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-0.005,b0870,5,59,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,2.2752855571764214e-06
-0.005,b2551,6,104,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,46.38680700226665
-0.005,b3368,3,425,0.3113131187348233,5.4323511679917875e-17,0.3113131187348233,1,3362.1295086959008
-0.005,b2436,1,108,0.3113131187348233,0.3113131187348236,-2.220446049250313e-16,0,22.918422509907288
-0.005,b3500,1,108,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,22.918422509902747
-0.005,b0945,2,119,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,32.98787993430687
-0.005,b4467,3,119,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,32.987879934306186
-0.005,b2979,3,119,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,32.987879934306186
-0.005,b4468,3,119,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,32.987879934306186
-0.005,b3916,3,114,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,453.9312712192972
-0.005,b1260,3,425,0.3113131187348233,-5.4323511679917875e-17,0.3113131187348234,1,3362.12950869593
-0.005,b1261,3,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695921
-0.005,b3426,1,116,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,448.33002235539686
-0.005,b2243,3,116,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,448.3300223553488
-0.005,b2242,3,116,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,448.3300223553488
-0.005,b2241,3,116,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,448.3300223553488
-0.005,b3770,5,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086958926
-0.005,b4054,4,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695929
-0.005,b3281,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695929
-0.005,b1692,3,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086959053
-0.005,b0243,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086959053
-0.005,b1613,1,116,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,448.3300223553682
-0.005,b0414,2,425,0.3113131187348233,1.5721224280168236e-13,0.3113131187346661,1,3362.129508692433
-0.005,b3041,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695931
-0.005,b0025,2,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086958894
-0.005,b0446,4,116,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,448.3300223554144
-0.005,b3812,2,425,0.3113131187348233,1.572665663133623e-13,0.3113131187346661,1,3362.1295086924342
-0.005,b0844,2,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695918
-0.005,b1662,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695918
-0.005,b0421,2,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.129508695903
-0.005,b3804,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086959267
-0.005,b3997,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086959167
-0.005,b4382,2,117,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,542.7954688949136
-0.005,b0126,1,425,0.3113131187348233,-2.6618520723159758e-15,0.311313118734826,1,3362.129508695968
-0.005,b0339,1,425,0.3113131187348233,-5.244540727763832e-15,0.3113131187348286,1,3362.1295086960217
-0.005,b4006,2,425,0.3113131187348233,-4.328728758208311e-15,0.3113131187348277,1,3362.129508696002
-0.005,b2508,1,122,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,542.6959973199243
-0.005,b3846,19,203,0.3113131187348233,0.3113131187348236,-2.220446049250313e-16,0,653.0917200399138
-0.005,b2341,16,203,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,653.0917200398835
-0.005,b2400,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.12950869598
-0.005,b3993,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.1295086959267
-0.005,b2066,4,203,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,589.358557263689
-0.005,b0238,3,198,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,589.618054442802
-0.005,b0125,2,198,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,589.6180544428014
-0.005,b2518,8,185,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,548.9014049335892
-0.005,b0474,13,188,0.3113131187348233,0.3113131187348235,-1.6653345369377348e-16,0,610.2195689476403
-0.005,b1062,1,425,0.3113131187348233,-6.8447624716696525e-15,0.3113131187348302,1,3362.2170190834613
-0.005,b1281,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.2170190833376
-0.005,b0720,1,425,0.3113131187348233,0.0,0.3113131187348233,1,3362.217019083339
