gene_id,gene_name,stratum,glpk_status,highs_status,b_lex_glpk,b_lex_highs,b_deposited,kV_deposited,kV_lex_glpk_vs_wt,kV_lex_highs_vs_wt,kV_lex_cross_engine,t_glpk_s,t_highs_s
b4034,,control,ok,ok,0.6947359182109625,0.6947359182109591,0.6947359182109515,5.240073838013492e-05,0.0,0.0,0.0,1.1152617931365967,0.6816928386688232
b4036,,anchor,ok,ok,0.6947359182109746,0.6947359182109634,0.6947359182109749,5.2400738380018776e-05,0.0,0.0,0.0,1.255737066268921,0.7045061588287354
b4481,,floor_sample,ok,ok,0.6947359182109764,0.6947359182109621,0.6947359182109694,200.00005230474451,0.0,0.0,0.0,1.246821403503418,0.6703143119812012
b2663,,floor_sample,ok,ok,0.6947359182109647,0.6947359182109634,0.6947359182109661,200.0000523047349,0.0,0.0,0.0,1.0894837379455566,0.7264349460601807
b0120,,floor_sample,ok,ok,0.6947359182109607,0.6947359182109591,0.694735918211008,200.00000000002012,0.0,0.0,0.0,1.229687213897705,0.718717098236084
b1709,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109591,0.6947359182109658,200.0000523047328,0.0,0.0,0.0,1.1080513000488281,0.7218468189239502
b3966,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109591,0.6947359182109658,200.0000523047328,0.0,0.0,0.0,1.2254738807678223,0.7119266986846924
b0575,,floor_sample,ok,ok,0.6947359182109426,0.6947359182109591,0.6947359182109568,200.00005230473,0.0,0.0,0.0,1.113149881362915,0.7134883403778076
b0870,,anchor,ok,ok,0.6947359182109639,0.6947359182109634,0.6947359182109638,200.0000524007384,0.0,0.0,0.0,1.2497313022613525,0.6842997074127197
b3460,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.2609915733337402,0.6707644462585449
b0516,,floor_sample,ok,ok,0.6947359182109669,0.6947359182109615,0.6947359182109669,200.00005240073892,0.0,0.0,0.0,1.2347896099090576,0.6867482662200928
b1876,,floor_sample,ok,ok,0.6947359182109639,0.6947359182109591,0.6947359182109623,200.00005230473,0.0,0.0,0.0,1.2508621215820312,0.7124836444854736
b0860,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.2427585124969482,0.6894607543945312
b0032,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.2573089599609375,0.6695575714111328
b3915,,floor_sample,ok,ok,0.6947359182109818,0.6947359182109634,0.6947359182109818,200.00005240074177,0.0,0.0,0.0,1.1140120029449463,0.7024450302124023
b2540,,floor_sample,ok,ok,0.6947359182109637,0.6947359182109591,0.6947359182109639,200.0000523047304,0.0,0.0,0.0,1.2507314682006836,0.7273099422454834
b2677,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.0948617458343506,0.6915280818939209
b0651,,floor_sample,ok,ok,0.6947359182109382,0.6947359182109615,0.6947359182109416,200.0000524007384,0.0,0.0,0.0,1.2437493801116943,0.6874899864196777
b2065,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.0936353206634521,0.7027554512023926
b1198,,topkV,ok,ok,0.6947359182109855,0.6947359182109634,0.694735918210964,268.8646294352345,68.86457713039988,68.86457414255315,0.0,1.2645392417907715,0.7333061695098877
b1199,,topkV,ok,ok,0.6947359182109855,0.6947359182109634,0.6947359182109858,268.8646294352677,68.86457713039988,68.86457414255315,0.0,1.244274616241455,0.7193143367767334
b0895,,floor_sample,ok,ok,0.6947359182109629,0.6947359182109591,0.6947359182109653,200.00005230473465,0.0,0.0,0.0,1.0929350852966309,0.7153177261352539
