level,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
nh4_-10,b1377,,270,463,0.9258552865966436,0.0,0.9258552865966436,1,14356.667874485887
nh4_-10,b2215,,271,463,0.9258552865966436,0.0,0.9258552865966436,1,14356.667874485887
nh4_-10,b0929,,271,463,0.9258552865966436,0.0,0.9258552865966436,1,14356.667874485887
nh4_-10,b0241,,270,463,0.9258552865966436,0.0,0.9258552865966436,1,14356.667874485887
nh4_-10,b4034,,6,108,0.9258552865966436,0.9258552865966434,1.1102230246251563e-16,0,841.25930148375
nh4_-10,b4033,,6,108,0.9258552865966436,0.9258552865966736,-2.9976021664879227e-14,0,841.2593014839038
nh4_-10,b4032,,6,108,0.9258552865966436,0.9258552865966736,-2.9976021664879227e-14,0,841.2593014839038
nh4_-10,b4035,,6,108,0.9258552865966436,0.9258552865966736,-2.9976021664879227e-14,0,841.2593014839038
nh4_-10,b4036,,7,109,0.9258552865966436,0.9258552865966736,-3.0198066269804264e-14,0,665.8104085542159
nh4_-10,b4213,,8,109,0.9258552865966436,0.925855286596663,-1.9539925233402755e-14,0,665.8104085541977
nh4_-10,b2835,,21,109,0.9258552865966436,0.925855286596663,-1.9539925233402755e-14,0,665.8104085541977
nh4_-10,b2836,,23,182,0.9258552865966436,0.9258552865966628,-1.9206858326015208e-14,0,698.3513564080654
nh4_-10,b3553,,10,182,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,698.3513564080364
nh4_-10,b1134,,2,182,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,698.3513564080364
nh4_-10,b0446,,2,182,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,698.3513564080364
nh4_-10,b1009,,1,182,0.9258552865966436,0.9258552865966788,-3.519406988061746e-14,0,698.3513564080364
nh4_-10,b0954,,13,151,0.9258552865966436,0.9258552865966796,-3.61932706027801e-14,0,725.5917805426302
nh4_-10,b0180,,14,494,0.9258552865966436,-4.058645641842216e-11,0.92585528663723,1,2888.038936375141
nh4_-10,b0347,,2,150,0.9258552865966436,0.9258552865966718,-2.831068712794149e-14,0,713.8355018606901
nh4_-10,b3580,,2,150,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,713.8355018606883
nh4_-10,b1093,,14,484,0.9258552865966436,9.448220834244764e-16,0.9258552865966424,1,2994.302882580097
nh4_-10,b2323,,13,484,0.9258552865966436,2.519377208066086e-30,0.9258552865966436,1,2994.3028825800807
nh4_-10,b1095,,9,484,0.9258552865966436,0.0,0.9258552865966436,1,2994.3028825800952
nh4_-10,b1397,,2,141,0.9258552865966436,0.9258552865966612,-1.7763568394002505e-14,0,531.4724016075166
nh4_-10,b1245,,2,141,0.9258552865966436,0.9258552865966428,7.771561172376097e-16,0,531.4724016075666
nh4_-10,b1244,,2,141,0.9258552865966436,0.9258552865966428,7.771561172376097e-16,0,531.4724016075666
nh4_-10,b1329,,1,141,0.9258552865966436,0.9258552865966428,7.771561172376097e-16,0,531.4724016075666
nh4_-10,b1246,,2,141,0.9258552865966436,0.9258552865966428,7.771561172376097e-16,0,531.4724016075666
nh4_-10,b1247,,2,141,0.9258552865966436,0.9258552865966428,7.771561172376097e-16,0,531.4724016075666
nh4_-10,b1386,,3,141,0.9258552865966436,0.9258552865966428,7.771561172376097e-16,0,531.4724016075666
nh4_-10,b0004,,2,484,0.9258552865966436,-1.7862889688953504e-16,0.9258552865966436,1,2994.3028825800798
nh4_-10,b1192,,4,141,0.9258552865966436,0.925855286596649,-5.440092820663267e-15,0,531.4724016075733
nh4_-10,b1243,,1,141,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,531.4724016075195
nh4_-10,b4266,,1,141,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,531.4724016075195
nh4_-10,b4265,,3,141,0.9258552865966436,0.9258552865966576,-1.4099832412739488e-14,0,531.4724016075195
nh4_-10,b0159,,3,488,0.9258552865966436,-6.571149710177749e-16,0.9258552865966442,1,2680.1451015677926
nh4_-10,b3197,,1,488,0.9258552865966436,0.0,0.9258552865966436,1,2680.1451015678003
nh4_-10,b2708,,1,488,0.9258552865966436,0.0,0.9258552865966436,1,2680.145101567802
nh4_-10,b1094,,26,488,0.9258552865966436,0.0,0.9258552865966436,1,2680.145101567802
nh4_-10,b4481,,1,141,0.9258552865966436,0.9258552865966764,-3.2973623831367156e-14,0,531.4724016074636
nh4_-10,b1927,,1,141,0.9258552865966436,0.9258552865966568,-1.3322676295501878e-14,0,531.4724016075173
nh4_-10,b3571,,1,141,0.9258552865966436,0.9258552865966568,-1.3322676295501878e-14,0,531.4724016075173
nh4_-10,b2901,,1,141,0.9258552865966436,0.9258552865966568,-1.3322676295501878e-14,0,531.4724016075173
nh4_-10,b1302,,1,139,0.9258552865966436,0.9258552865966564,-1.2878587085651816e-14,0,573.8743002732043
nh4_-10,b2662,,1,139,0.9258552865966436,0.92585528659666,-1.6431300764452317e-14,0,573.8743002731918
nh4_-10,b1444,,1,139,0.9258552865966436,0.92585528659666,-1.6431300764452317e-14,0,573.8743002731918
nh4_-10,b2663,,1,139,0.9258552865966436,0.92585528659666,-1.6431300764452317e-14,0,573.8743002731918
nh4_-10,b2222,,3,139,0.9258552865966436,0.92585528659666,-1.6431300764452317e-14,0,573.8743002731918
nh4_-10,b2221,,3,139,0.9258552865966436,0.92585528659666,-1.6431300764452317e-14,0,573.8743002731918
nh4_-10,b2224,,1,163,0.9258552865966436,0.9258552865966596,-1.609823385706477e-14,0,706.468284884497
nh4_-10,b2342,,8,172,0.9258552865966436,0.9258552865966292,1.4210854715202004e-14,0,717.527420510017
nh4_-10,b3845,,8,172,0.9258552865966436,0.9258552865966596,-1.6209256159527282e-14,0,717.5274205101945
nh4_-10,b2223,,3,172,0.9258552865966436,0.9258552865966596,-1.6209256159527282e-14,0,717.5274205101945
nh4_-10,b1241,,2,172,0.9258552865966436,0.9258552865966596,-1.6209256159527282e-14,0,717.5274205101945
nh4_-10,b0351,,1,172,0.9258552865966436,0.9258552865966596,-1.6209256159527282e-14,0,717.5274205101945
nh4_-10,s0001,,39,478,0.9258552865966436,1.4545524484733803e-16,0.9258552865966434,1,13592.615364783096
nh4_-10,b1463,,1,143,0.9258552865966436,0.9258552865966452,-1.7763568394002505e-15,0,3287.0289856826266
nh4_-10,b1993,,2,143,0.9258552865966436,0.925855286596661,-1.754152378907747e-14,0,3287.0289856827576
nh4_-10,b2316,,1,491,0.9258552865966436,1.4366061690359126e-15,0.925855286596642,1,5548.134390356565
nh4_-10,b3255,,1,491,0.9258552865966436,0.0,0.9258552865966436,1,5548.134390356573
nh4_-10,b0185,,1,491,0.9258552865966436,0.0,0.9258552865966436,1,5548.134390356573
nh4_-10,b3256,,1,491,0.9258552865966436,0.0,0.9258552865966436,1,5548.134390356573
nh4_-10,b4069,,2,188,0.9258552865966436,0.9258552865970884,-4.4497738826976274e-13,0,3636.868169803869
nh4_-10,b1119,,1,188,0.9258552865966436,0.9258552865966508,-7.327471962526033e-15,0,3636.86816980412
nh4_-10,b3784,,1,188,0.9258552865966436,0.9258552865966508,-7.327471962526033e-15,0,3636.86816980412
nh4_-10,b2415,,18,159,0.9258552865966436,0.9258552865966504,-6.772360450213455e-15,0,4084.396412479583
nh4_-10,b0679,,1,159,0.9258552865966436,0.9258552865965892,5.428990590417016e-14,0,4084.396412479514
nh4_-10,b1101,,2,159,0.9258552865966436,0.9258552865965892,5.428990590417016e-14,0,4084.396412479514
nh4_-10,b2417,,6,159,0.9258552865966436,0.9258552865965892,5.428990590417016e-14,0,4084.396412479514
nh4_-10,b2416,,19,159,0.9258552865966436,0.9258552865965892,5.428990590417016e-14,0,4084.396412479514
nh4_-10,b3959,,1,491,0.9258552865966436,6.29881388949651e-16,0.9258552865966428,1,6070.358900233666
nh4_-10,b2818,,1,491,0.9258552865966436,0.0,0.9258552865966436,1,6070.35890023374
nh4_-10,b0078,,2,491,0.9258552865966436,0.0,0.9258552865966436,1,6070.35890023374
nh4_-10,b3670,,2,491,0.9258552865966436,0.0,0.9258552865966436,1,6070.358900233741
nh4_-10,b3671,,2,491,0.9258552865966436,0.0,0.9258552865966436,1,6070.358900233741
nh4_-10,b0077,,2,491,0.9258552865966436,0.0,0.9258552865966436,1,6070.358900233741
nh4_-10,b3115,,2,160,0.9258552865966436,0.9258552865966714,-2.7866597918091432e-14,0,3791.187634787897
nh4_-10,b1849,,2,160,0.9258552865966436,0.9258552865966776,-3.419486915845482e-14,0,3791.187634787884
nh4_-10,b2296,,1,160,0.9258552865966436,0.9258552865966776,-3.419486915845482e-14,0,3791.187634787884
nh4_-10,b2428,,1,160,0.9258552865966436,0.9258552865966776,-3.419486915845482e-14,0,3791.187634787884
nh4_-10,b3794,,1,160,0.9258552865966436,0.9258552865966776,-3.419486915845482e-14,0,3791.187634787884
nh4_-10,b1818,,5,162,0.9258552865966436,0.9258552865966792,-3.574918139293004e-14,0,4071.762264183236
nh4_-10,b1819,,5,162,0.9258552865966436,0.9258552865966462,-2.664535259100376e-15,0,4071.7622641831977
nh4_-10,b1817,,5,162,0.9258552865966436,0.9258552865966462,-2.664535259100376e-15,0,4071.7622641831977
nh4_-10,b2429,,2,162,0.9258552865966436,0.9258552865966462,-2.664535259100376e-15,0,4071.7622641831977
nh4_-10,b3224,,1,162,0.9258552865966436,0.9258552865966462,-2.664535259100376e-15,0,4071.7622641831977
nh4_-10,b4311,,1,162,0.9258552865966436,0.9258552865966462,-2.664535259100376e-15,0,4071.7622641831977
nh4_-10,b3225,,1,162,0.9258552865966436,0.9258552865966462,-2.664535259100376e-15,0,4071.7622641831977
nh4_-10,b0221,,8,199,0.9258552865966436,0.9258552865966468,-3.219646771412954e-15,0,4104.066490293987
