gene_id,gene_name,n_gpr_rxns,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b0870,ltaE,5,0.3983895354016796,0.3983871463701811,2.389031498462036e-06,0,2.542946815109356e-06,738.4087312314283,ok
b2551,glyA,6,0.3983895354016796,0.3876146476187584,0.0107748877829211,0,5.770173317541632,742.2747955988207,ok
b3368,cysG,3,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813031545,398.2978727387237,ok
b2436,hemF,1,0.3983895354016796,0.3983808642389008,8.671162778806085e-06,0,2.031844827188644e-06,738.4110417053369,ok
b3500,gor,1,0.3983895354016796,0.3983895354016795,1.1102230246251563e-16,0,0.0,738.4130726704911,ok
b0945,pyrD,2,0.3983895354016796,0.3983895354016804,-7.771561172376101e-16,0,0.0521020690298182,738.5448579366474,ok
b4467,glcF,3,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,0.0,738.4130726704891,ok
b2979,glcD,3,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,0.0,738.4130726704891,ok
b4468,glcE,3,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,0.0,738.4130726704891,ok
b3916,pfkA,3,0.3983895354016796,0.3928783931583307,0.0055111422433488,0,50.27700117546566,738.6980575205639,ok
b1260,trpA,3,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303236,398.2978727387231,ok
b1261,trpB,3,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303236,398.2978727387231,ok
b3426,glpD,1,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,0.0,738.4130726704735,ok
b2243,glpC,3,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,0.0,738.4130726704852,ok
b2242,glpB,3,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,0.0,738.4130726704852,ok
b2241,glpA,3,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,0.0,738.4130726704852,ok
b3770,ilvE,5,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303189,398.2978727387233,ok
b4054,tyrB,4,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813031777,398.2978727387234,ok
b3281,aroE,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813031886,398.2978727387234,ok
b1692,ydiB,3,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303162,398.2978727387235,ok
b0243,proA,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303232,398.297872738723,ok
b1613,manA,1,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,0.0,738.4130726704802,ok
b0414,ribD,2,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303216,398.2978727387233,ok
b3041,ribB,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303153,398.2978727387235,ok
b0025,ribF,2,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303277,398.2978727387229,ok
b0446,cof,4,0.3983895354016796,0.3983895354016796,0.0,0,0.0,738.4130726704734,ok
b3812,yigB,2,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303194,398.29787273872296,ok
b0844,ybjI,2,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303194,398.29787273872296,ok
b1662,ribC,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813031904,398.2978727387232,ok
b0421,ispA,2,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303242,398.29787273872296,ok
b3804,hemD,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.62428130328,398.29787273872273,ok
b3997,hemE,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303193,398.297872738723,ok
b4382,deoA,2,0.3983895354016796,0.3983895354016794,2.220446049250313e-16,0,0.0,738.4130726704789,ok
b0126,|can|,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813031895,398.2978727387232,ok
b0339,cynT,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813031895,398.2978727387232,ok
b4006,purH,2,0.3983895354016796,-0.0,0.3983895354016796,1,3825.624281303175,398.2978727387234,ok
b2508,guaB,1,0.3983895354016796,0.3968513476751804,0.0015381877264991,0,0.0890628937087385,738.8436442717168,ok
b3846,fadB,19,0.3983895354016796,0.39150302314181,0.0068865122598695,0,6.654247908769095,738.302163469164,ok
b2341,fadJ,16,0.3983895354016796,0.3915030231418114,0.0068865122598681,0,6.6542479087731135,738.3021634691559,ok
b2400,gltX,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.62428130328,398.29787273872273,ok
b3993,thiE,1,0.3983895354016796,-0.0,0.3983895354016796,1,3825.6242813033,398.29787273872273,ok
b2066,udk,4,0.3983895354016796,0.3983895354016795,5.551115123125783e-17,0,0.0,738.413072670481,ok
b0238,gpt,3,0.3983895354016796,0.3983895354016796,0.0,0,0.0,738.4130726704803,ok
b0125,hpt,2,0.3983895354016796,0.3983895354016796,-5.551115123125783e-17,0,0.0,738.4130726704919,ok
b2518,ndk,8,0.3983895354016796,0.3983895354016794,2.220446049250313e-16,0,1.1931720607029803,738.4130726704774,ok
b0474,adk,13,0.3983895354016796,0.3983873991197071,2.13628197243132e-06,0,6.656120580833392,740.8057786054625,ok
