gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str,bnum,keio_call,gene_name_keio,COG_id,PEC,MG_Tn5,Score
b1377,270,438,0.9823718127269576,0.0,0.9823718127269576,1,16116.43569571625,b1377,b1377,N,ompN,COG3203,,,
b2215,271,438,0.9823718127269576,0.0,0.9823718127269576,1,16116.43569571625,b2215,b2215,N,ompC,COG3203,,,
b0929,271,438,0.9823718127269576,0.0,0.9823718127269576,1,16116.43569571625,b0929,b0929,N,ompF,COG3203,,,
b0241,270,438,0.9823718127269576,0.0,0.9823718127269576,1,16116.43569571625,b0241,b0241,N,phoE,COG3203,,,
b4034,6,10,0.9823718127269576,0.982371812726983,-2.55351295663786e-14,0,207.32531974901136,b4034,b4034,N,malE,COG2182,,,
b4033,6,10,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,207.32531974901136,b4033,b4033,N,malF,COG1175,,,
b4032,6,10,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,207.32531974901136,b4032,b4032,N,malG,COG3833,,,
b4035,6,10,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,207.32531974901136,b4035,b4035,N,malK,COG3839,,,
b4036,7,8,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,7.325319749011384,b4036,b4036,N,lamB,COG4580,,,
b4213,8,8,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,7.325319749011384,b4213,b4213,N,cpdB,COG0737,,,
b2835,21,8,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,7.325319749011384,b2835,b2835,N,ygeD,COG0477,,,
b2836,23,453,0.9823718127269576,0.9720365831108414,0.0103352296161161,0,55.53622363049324,b2836,b2836,N,aas,COG0204,,,
b3553,10,8,0.9823718127269576,0.98237181272698,-2.242650509742816e-14,0,7.325319749011354,b3553,b3553,N,tiaE,COG1052,,,
b1134,2,8,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,7.325319749011333,b1134,b1134,N,ymfB,COG0494,,,
b0446,2,8,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,7.325319749011333,b0446,b0446,N,cof,COG0561,,,
b1009,1,8,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,7.325319749011333,b1009,b1009,N,rarA,COG0596,,,
b0954,13,8,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,7.325319749011333,b0954,b0954,E,fabA,COG0764,E,u,3
b0180,14,442,0.9823718127269576,1.0993846592890865e-15,0.9823718127269564,1,6427.156981768971,b0180,b0180,E,fabZ,COG0764,E,u,3
b0347,2,8,0.9823718127269576,0.9823718127269796,-2.19824158875781e-14,0,7.325319749011395,b0347,b0347,N,mhpA,COG0654,,,
b3580,2,8,0.9823718127269576,0.9823718127269898,-3.230749001659205e-14,0,7.325319749011427,b3580,b3580,N,lyxK,COG1070,,,
b1093,14,449,0.9823718127269576,-4.845435633478782e-16,0.982371812726958,1,4542.121666821642,b1093,b1093,E,fabG,COG1028,E,u,3
b2323,13,449,0.9823718127269576,-3.317309166909023e-16,0.9823718127269578,1,4542.12166682164,b2323,b2323,E,fabB,COG0304,E,u,3
b1095,9,449,0.9823718127269576,0.0,0.9823718127269576,1,4542.121666821657,b1095,b1095,N,fabF,COG0304,,,
b1397,2,8,0.9823718127269576,0.982371812726979,-2.153832667772804e-14,0,7.325319749011211,b1397,b1397,N,paaJ,COG0183,,,
b1245,2,8,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313,b1245,b1245,N,oppC,COG1173,,,
b1244,2,8,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313,b1244,b1244,N,oppB,COG0601,,,
b1329,1,8,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313,b1329,b1329,N,mppA,COG4166,,,
b1247,2,8,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313,b1247,b1247,N,oppF,COG4608,,,
b1386,3,8,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,7.325319749011313,b1386,b1386,N,tynA,COG3733,,,
b0004,2,442,0.9823718127269576,1.3734935574713578e-15,0.9823718127269562,1,6427.156981769007,b0004,b0004,N,thrC,COG0498,,,
b1192,4,8,0.9823718127269576,0.9823718127269772,-1.965094753586527e-14,0,7.3253197490113084,b1192,b1192,N,ldcA,COG1619,,,
b1243,1,8,0.9823718127269576,0.9823718127269812,-2.3647750424515834e-14,0,7.325319749011375,b1243,b1243,N,oppA,COG4166,,,
b4266,1,8,0.9823718127269576,0.9823718127269812,-2.3647750424515834e-14,0,7.325319749011375,b4266,b4266,N,idnO,COG1028,,,
b4265,3,8,0.9823718127269576,0.9823718127269812,-2.3647750424515834e-14,0,7.325319749011375,b4265,b4265,N,idnT,COG2610,,,
b0159,3,436,0.9823718127269576,1.15565959917787e-15,0.9823718127269564,1,6060.355243842299,b0159,b0159,N,pfs,COG0775,,,
