level,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
nh4_-2.5,b1377,270,422,0.2314638216491775,0.0,0.2314638216491775,1,1069.3140484596886
nh4_-2.5,b2215,271,422,0.2314638216491775,0.0,0.2314638216491775,1,1069.3140484596886
nh4_-2.5,b0929,271,422,0.2314638216491775,0.0,0.2314638216491775,1,1069.3140484596886
nh4_-2.5,b0241,270,422,0.2314638216491775,0.0,0.2314638216491775,1,1069.3140484596886
nh4_-2.5,b4034,6,6,0.2314638216491775,0.231463821649174,3.4694469519536138e-15,0,12.430288469249849
nh4_-2.5,b4033,6,0,0.2314638216491775,0.2314638216491645,1.2961853812498704e-14,0,0.0
nh4_-2.5,b4032,6,0,0.2314638216491775,0.2314638216491645,1.2961853812498704e-14,0,0.0
nh4_-2.5,b4035,6,0,0.2314638216491775,0.2314638216491645,1.2961853812498704e-14,0,0.0
nh4_-2.5,b4036,7,6,0.2314638216491775,0.2314638216491646,1.2878587085651816e-14,0,12.430288469248456
nh4_-2.5,b4213,8,4,0.2314638216491775,0.2314638216491657,1.1796119636642288e-14,0,1.0657024273609594e-08
nh4_-2.5,b2835,21,0,0.2314638216491775,0.2314638216491657,1.1796119636642288e-14,0,0.0
nh4_-2.5,b2836,23,126,0.2314638216491775,0.231463821649167,1.0436096431476471e-14,0,2.6586894679906674
nh4_-2.5,b3553,10,0,0.2314638216491775,0.2314638216491649,1.2545520178264267e-14,0,0.0
nh4_-2.5,b1134,2,4,0.2314638216491775,0.2314638216491649,1.2545520178264267e-14,0,1.0657024303300418e-08
nh4_-2.5,b0446,2,0,0.2314638216491775,0.2314638216491649,1.2545520178264267e-14,0,0.0
nh4_-2.5,b1009,1,0,0.2314638216491775,0.2314638216491649,1.2545520178264267e-14,0,0.0
nh4_-2.5,b0954,13,4,0.2314638216491775,0.2314638216491649,1.2517764602648642e-14,0,1.0657024303644889e-08
nh4_-2.5,b0180,14,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614829
nh4_-2.5,b0347,2,0,0.2314638216491775,0.2314638216491693,8.132383655379272e-15,0,0.0
nh4_-2.5,b3580,2,0,0.2314638216491775,0.2314638216491639,1.3600232051658168e-14,0,0.0
nh4_-2.5,b1093,14,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614824
nh4_-2.5,b2323,13,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614819
nh4_-2.5,b1095,9,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614824
nh4_-2.5,b1397,2,0,0.2314638216491775,0.2314638216491657,1.174060848541103e-14,0,0.0
nh4_-2.5,b1245,2,0,0.2314638216491775,0.2314638216491574,2.0067281170099704e-14,0,0.0
nh4_-2.5,b1244,2,0,0.2314638216491775,0.2314638216491574,2.0067281170099704e-14,0,0.0
nh4_-2.5,b1329,1,0,0.2314638216491775,0.2314638216491574,2.0067281170099704e-14,0,0.0
nh4_-2.5,b1246,2,0,0.2314638216491775,0.2314638216491574,2.0067281170099704e-14,0,0.0
nh4_-2.5,b1247,2,0,0.2314638216491775,0.2314638216491574,2.0067281170099704e-14,0,0.0
nh4_-2.5,b1386,3,0,0.2314638216491775,0.2314638216491574,2.0067281170099704e-14,0,0.0
nh4_-2.5,b0004,2,422,0.2314638216491775,6.908159408572939e-16,0.2314638216491768,1,826.3169039614821
nh4_-2.5,b1192,4,4,0.2314638216491775,0.2314638216491566,2.0844437287337314e-14,0,5.805875220922423e-06
nh4_-2.5,b1243,1,0,0.2314638216491775,0.2314638216491612,1.6264767310758543e-14,0,0.0
nh4_-2.5,b4266,1,0,0.2314638216491775,0.2314638216491612,1.6264767310758543e-14,0,0.0
nh4_-2.5,b4265,3,0,0.2314638216491775,0.2314638216491612,1.6264767310758543e-14,0,0.0
nh4_-2.5,b0159,3,422,0.2314638216491775,0.0,0.2314638216491775,1,826.316903961484
nh4_-2.5,b3197,1,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614822
nh4_-2.5,b2708,1,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614828
nh4_-2.5,b1094,26,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614785
nh4_-2.5,b4481,1,0,0.2314638216491775,0.2314638216491532,2.4313884239290928e-14,0,0.0
nh4_-2.5,b1927,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b3571,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b2901,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b1302,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b2662,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b1444,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b2663,1,0,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,0.0
nh4_-2.5,b2222,3,4,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,1.0657024303610877e-08
nh4_-2.5,b2221,3,4,0.2314638216491775,0.2314638216491537,2.3786528302593982e-14,0,1.0657024303610877e-08
nh4_-2.5,b2224,1,129,0.2314638216491775,0.2314638216491539,2.3564483697668948e-14,0,2.658684442812624
nh4_-2.5,b2342,8,129,0.2314638216491775,0.2314638216491626,1.482147737874584e-14,0,2.658684442812896
nh4_-2.5,b3845,8,129,0.2314638216491775,0.2314638216491611,1.634803403760543e-14,0,2.658684442812896
nh4_-2.5,b2223,3,4,0.2314638216491775,0.2314638216491611,1.634803403760543e-14,0,1.0657024305275381e-08
nh4_-2.5,b1241,2,4,0.2314638216491775,0.2314638216491611,1.634803403760543e-14,0,1.0657024304380289e-08
nh4_-2.5,b0351,1,4,0.2314638216491775,0.2314638216491611,1.634803403760543e-14,0,1.065702430320574e-08
nh4_-2.5,s0001,39,425,0.2314638216491775,-1.3051948076713372e-14,0.2314638216491905,1,1011.107260686088
nh4_-2.5,b1463,1,0,0.2314638216491775,0.2314638216491748,2.664535259100376e-15,0,0.0
nh4_-2.5,b1993,2,0,0.2314638216491775,0.2314638216491524,2.5063284780912912e-14,0,0.0
nh4_-2.5,b2316,1,422,0.2314638216491775,1.542414979459275e-15,0.2314638216491759,1,826.3169039614819
nh4_-2.5,b3255,1,422,0.2314638216491775,0.0,0.2314638216491775,1,826.3169039614827
nh4_-2.5,b0185,1,422,0.2314638216491775,0.0,0.2314638216491775,1,826.316903961483
