fe_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
-0.01,b2323,,13,486,0.6226262374694641,5.2844775640252735e-30,0.6226262374694641,1,3095.7510761769213,
-0.01,b1095,,9,486,0.6226262374694641,0.0,0.6226262374694641,1,3095.7510761769217,
-0.01,b1397,,2,160,0.6226262374694641,0.6226262374696486,-1.8451906669270107e-13,0,2413.9405188897786,
-0.01,b1245,,2,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.940518889773,
-0.01,b1244,,2,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.940518889773,
-0.01,b1329,,1,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.940518889773,
-0.01,b1246,,2,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.940518889773,
-0.01,b1247,,2,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.940518889773,
-0.01,b1386,,3,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.940518889773,
-0.01,b0004,,2,472,0.6226262374694641,9.992304127032485e-17,0.622626237469464,1,4885.604685689192,
-0.01,b1192,,4,175,0.6226262374694641,0.6226262374696466,-1.8252066524837574e-13,0,2414.346372723373,
-0.01,b1243,,1,175,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2414.346372723372,
-0.01,b4266,,1,175,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2414.346372723372,
-0.01,b4265,,3,175,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2414.346372723372,
-0.01,b0159,,3,472,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,4885.604685689246,
-0.01,b3197,,1,472,0.6226262374694641,0.0,0.6226262374694641,1,4885.60468568914,
-0.01,b2708,,1,472,0.6226262374694641,0.0,0.6226262374694641,1,4885.604685689184,
-0.01,b1094,,26,472,0.6226262374694641,0.0,0.6226262374694641,1,4885.604685689184,
-0.01,b4481,,1,160,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,2413.9405188897767,
-0.01,b1927,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b3571,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b2901,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b1302,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b2662,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b1444,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b2663,,1,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b2222,,3,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b2221,,3,160,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2413.940518889777,
-0.01,b2224,,1,235,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2433.345693955343,
-0.01,b2342,,8,235,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2433.345693955348,
-0.01,b3845,,8,235,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2433.345693955348,
-0.01,b2223,,3,235,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2433.345693955348,
-0.01,b1241,,2,235,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2433.345693955348,
-0.01,b0351,,1,235,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,2433.345693955348,
-0.01,s0001,,39,471,0.6226262374694641,2.1048276850937778e-15,0.622626237469462,1,11603.331448965908,
-0.01,b1463,,1,151,0.6226262374694641,0.6226262374696478,-1.837419105754634e-13,0,5940.23766931312,
