level,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
baseline,b1377,270,440,0.9823718127269576,0.0,0.9823718127269576,1,16029.07240264258
baseline,b2215,271,440,0.9823718127269576,0.0,0.9823718127269576,1,16029.07240264258
baseline,b0929,271,440,0.9823718127269576,0.0,0.9823718127269576,1,16029.07240264258
baseline,b0241,270,440,0.9823718127269576,0.0,0.9823718127269576,1,16029.07240264258
baseline,b4034,6,6,0.9823718127269576,0.982371812726983,-2.55351295663786e-14,0,200.0000001919648
baseline,b4033,6,0,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,0.0
baseline,b4032,6,0,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,0.0
baseline,b4035,6,0,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,0.0
baseline,b4036,7,6,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,200.0000001919648
baseline,b4213,8,4,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,1.9196475645351957e-07
baseline,b2835,21,0,0.9823718127269576,0.9823718127269886,-3.108624468950438e-14,0,0.0
baseline,b2836,23,451,0.9823718127269576,0.9720365831108414,0.0103352296161161,0,41.41399252912644
baseline,b3553,10,0,0.9823718127269576,0.98237181272698,-2.242650509742816e-14,0,0.0
baseline,b1134,2,4,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,1.9196475613602002e-07
baseline,b0446,2,0,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,0.0
baseline,b1009,1,0,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,0.0
baseline,b0954,13,4,0.9823718127269576,0.9823718127269804,-2.2759572004815712e-14,0,1.9196475630084437e-07
baseline,b0180,14,440,0.9823718127269576,1.0993846592890865e-15,0.9823718127269564,1,15078.516174378754
baseline,b0347,2,0,0.9823718127269576,0.9823718127269796,-2.19824158875781e-14,0,0.0
baseline,b3580,2,0,0.9823718127269576,0.9823718127269898,-3.230749001659205e-14,0,0.0
baseline,b1093,14,440,0.9823718127269576,-4.845435633478782e-16,0.982371812726958,1,15078.51617437875
baseline,b2323,13,440,0.9823718127269576,-3.317309166909023e-16,0.9823718127269578,1,15078.516174378748
baseline,b1095,9,440,0.9823718127269576,0.0,0.9823718127269576,1,15078.51617437875
baseline,b1397,2,0,0.9823718127269576,0.982371812726979,-2.153832667772804e-14,0,0.0
baseline,b1245,2,0,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,0.0
baseline,b1244,2,0,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,0.0
baseline,b1329,1,0,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,0.0
baseline,b1246,2,0,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,0.0
baseline,b1247,2,0,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,0.0
baseline,b1386,3,0,0.9823718127269576,0.9823718127269742,-1.6653345369377348e-14,0,0.0
