o2_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-10.0,b1377,,270,446,0.7108337341354214,0.0,0.7108337341354214,1,7728.458809173055
-10.0,b2215,,271,446,0.7108337341354214,0.0,0.7108337341354214,1,7728.458809173055
-10.0,b0929,,271,446,0.7108337341354214,0.0,0.7108337341354214,1,7728.458809173055
-10.0,b0241,,270,446,0.7108337341354214,0.0,0.7108337341354214,1,7728.458809173055
-10.0,b4034,,6,23,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,209.25902621382141
-10.0,b4033,,6,23,0.7108337341354214,0.7108337341354148,6.5503158452884236e-15,0,209.2590262138214
-10.0,b4032,,6,23,0.7108337341354214,0.7108337341354148,6.5503158452884236e-15,0,209.2590262138214
-10.0,b4035,,6,23,0.7108337341354214,0.7108337341354148,6.5503158452884236e-15,0,209.2590262138214
-10.0,b4036,,7,21,0.7108337341354214,0.7108337341354148,6.5503158452884236e-15,0,9.259026213821386
-10.0,b4213,,8,21,0.7108337341354214,0.7108337341354148,6.5503158452884236e-15,0,9.259026213821386
-10.0,b2835,,21,21,0.7108337341354214,0.7108337341354148,6.5503158452884236e-15,0,9.259026213821386
-10.0,b2836,,23,461,0.7108337341354214,0.6878146354065012,0.023019098728920162,0,47.589459613743315
-10.0,b3553,,10,21,0.7108337341354214,0.7108337341354225,-1.1102230246251565e-15,0,9.259026213821485
-10.0,b1134,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b0446,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1009,,1,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b0954,,13,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b0180,,14,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.989387353235
-10.0,b0347,,2,21,0.7108337341354214,0.7108337341354025,1.887379141862766e-14,0,9.259026213821217
-10.0,b3580,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1093,,14,440,0.7108337341354214,-9.43520255030755e-16,0.7108337341354223,1,9390.989387352996
-10.0,b2323,,13,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.989387353227
-10.0,b1095,,9,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.9893873532
-10.0,b1397,,2,21,0.7108337341354214,0.7108337341354087,1.2656542480726785e-14,0,9.259026213821302
-10.0,b1245,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1244,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1329,,1,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1246,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1247,,2,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b1386,,3,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b0004,,2,440,0.7108337341354214,8.413250926742553e-17,0.7108337341354213,1,9390.989387353558
-10.0,b1192,,4,21,0.7108337341354214,0.7108337341354186,2.7755575615628914e-15,0,9.259026213821462
-10.0,b1243,,1,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b4266,,1,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b4265,,3,21,0.7108337341354214,0.7108337341354183,3.1086244689504383e-15,0,9.259026213821445
-10.0,b0159,,3,440,0.7108337341354214,8.413250926742553e-17,0.7108337341354213,1,9390.989387353551
-10.0,b3197,,1,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.989387353404
-10.0,b2708,,1,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.989387353186
-10.0,b1094,,26,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.989387353186
-10.0,b4481,,1,21,0.7108337341354214,0.710833734135419,2.4424906541753444e-15,0,9.259026213821384
-10.0,b1927,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b3571,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b2901,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b1302,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b2662,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b1444,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b2663,,1,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b2222,,3,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b2221,,3,21,0.7108337341354214,0.7108337341354357,-1.432187701766452e-14,0,9.259026213821704
-10.0,b2224,,1,450,0.7108337341354214,0.6885533405606538,0.022280393574767632,0,34.89178514572526
-10.0,b2342,,8,461,0.7108337341354214,0.6878146354065008,0.023019098728920606,0,47.58945961374213
-10.0,b3845,,8,461,0.7108337341354214,0.687814635406495,0.02301909872892638,0,47.589459613742434
-10.0,b2223,,3,21,0.7108337341354214,0.7108337341354082,1.3211653993039363e-14,0,9.259026213821294
-10.0,b1241,,2,21,0.7108337341354214,0.710833734135412,9.43689570931383e-15,0,9.259026213821352
-10.0,b0351,,1,21,0.7108337341354214,0.710833734135412,9.43689570931383e-15,0,9.259026213821352
-10.0,s0001,,39,449,0.7108337341354214,2.6970037461769035e-16,0.7108337341354212,1,6669.269337478454
-10.0,b1463,,1,17,0.7108337341354214,0.7108337341353939,2.7533531010703882e-14,0,9.007314517054192
-10.0,b1993,,2,17,0.7108337341354214,0.7108337341353999,2.1538326677728037e-14,0,9.007314517054306
-10.0,b2316,,1,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.989387353207
-10.0,b3255,,1,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.98938735318
-10.0,b0185,,1,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.98938735318
-10.0,b3256,,1,440,0.7108337341354214,0.0,0.7108337341354214,1,9390.98938735318
-10.0,b4069,,2,14,0.7108337341354214,0.7108337341354097,1.1657341758564144e-14,0,8.841441712480906
-10.0,b1119,,1,14,0.7108337341354214,0.7108337341354075,1.3877787807814457e-14,0,8.84144171248088
-10.0,b3784,,1,14,0.7108337341354214,0.7108337341354075,1.3877787807814457e-14,0,8.84144171248088
-10.0,b2415,,18,423,0.7108337341354214,0.684250572799001,0.026583161336420358,0,624.4535734208483
-10.0,b0679,,1,14,0.7108337341354214,0.7108337341354141,7.327471962526033e-15,0,8.841441712480972
-10.0,b1101,,2,424,0.7108337341354214,0.6842505727990033,0.026583161336418137,0,444.7504006485755
-10.0,b2417,,6,424,0.7108337341354214,0.6842505727989981,0.026583161336423244,0,444.7504006485737
-10.0,b2416,,19,424,0.7108337341354214,0.6842505727989981,0.026583161336423244,0,444.7504006485737
