gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
b0870,5,22,0.1556565593674117,0.15565655936741177,-5.551115123125783e-17,0,0.18144693799369185
b2551,6,69,0.1556565593674117,0.15565655936741243,-7.216449660063518e-16,0,1.4668093136210665
b3368,3,414,0.1556565593674117,0.0,0.1556565593674117,1,570.832489014605
b2436,1,58,0.1556565593674117,0.15565655936743905,-2.733924198139448e-14,0,6.154871899771906e-07
b3500,1,16,0.1556565593674117,0.15565655936741185,-1.3877787807814457e-16,0,0.14120576164213758
b0945,2,17,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,0.024553558547788852
b4467,3,68,0.1556565593674117,0.15565655936741182,-1.1102230246251565e-16,0,0.1232501100686389
b2979,3,68,0.1556565593674117,0.15565655936741182,-1.1102230246251565e-16,0,0.1232501100686389
b4468,3,68,0.1556565593674117,0.15565655936741182,-1.1102230246251565e-16,0,0.1232501100686389
b3916,3,51,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,8.350949554554917
b1260,3,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146058
b1261,3,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146004
b3426,1,4,0.1556565593674117,0.1556565593674119,-1.942890293094024e-16,0,2.562335107123403e-07
b2243,3,16,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,0.14120576164213128
b2242,3,16,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,0.14120576164213128
b2241,3,16,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,0.14120576164213128
b3770,5,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146064
b4054,4,414,0.1556565593674117,0.0,0.1556565593674117,1,570.832489014607
b3281,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146067
b1692,3,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146077
b0243,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146129
b1613,1,0,0.1556565593674117,0.15565655936740988,1.8318679906315083e-15,0,0.0
b0414,2,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146068
b3041,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.832489014607
b0025,2,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146077
b0446,4,10,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,9.97877858662145e-05
b3812,2,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146063
b0844,2,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146066
b1662,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146073
b0421,2,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146082
b3804,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146071
b3997,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146073
b4382,2,6,0.1556565593674117,0.15565655936741163,8.326672684688674e-17,0,9.95315523556198e-05
b0126,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146065
b0339,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146057
b4006,2,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146059
b2508,1,54,0.1556565593674117,0.1556565593674119,-1.942890293094024e-16,0,0.026150966448292894
b3846,19,135,0.1556565593674117,0.15565655936741177,-5.551115123125783e-17,0,1.3638807124104368
b2341,16,137,0.1556565593674117,0.15565655936741177,-5.551115123125783e-17,0,1.3719565505004028
b2400,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146064
b3993,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146043
b2066,4,8,0.1556565593674117,0.15565655936741185,-1.3877787807814457e-16,0,0.005780291198070688
b0238,3,24,0.1556565593674117,0.15565655936741185,-1.3877787807814457e-16,0,0.18759324561209811
b0125,2,26,0.1556565593674117,0.15565655936741188,-1.6653345369377348e-16,0,0.1875931835633503
b2518,8,22,0.1556565593674117,0.15565655936741182,-1.1102230246251565e-16,0,0.314322931056108
b0474,13,57,0.1556565593674117,0.1556565593674117,0.0,0,1.1482993048251708
b1062,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.832489014605
b1281,1,414,0.1556565593674117,0.0,0.1556565593674117,1,570.8324890146044
b0720,1,415,0.1556565593674117,0.0,0.1556565593674117,1,667.8084073136373
b1136,1,415,0.1556565593674117,0.0,0.1556565593674117,1,667.8084073136382
b0351,1,14,0.1556565593674117,0.1556565593674118,-8.326672684688674e-17,0,0.01659977110118421
b1241,3,16,0.1556565593674117,0.1556565593674117,0.0,0,0.02912374361904993
