gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0870,5,69,0.0796779070803472,0.0796774292740444,4.778063027455204e-07,0,200.00689774512293,pfba
b2551,6,363,0.0796779070803472,0.0775229951809692,0.002154911899378,0,200.23914542097995,pfba
b3368,3,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018176,pfba
b2436,1,88,0.0796779070803472,0.0796761728477841,1.73423256306926e-06,0,200.0120314574101,pfba
b3500,1,10,0.0796779070803472,0.0796779708835008,-6.380315356602217e-08,0,200.01359898780785,pfba
b0945,2,13,0.0796779070803472,0.0796779070803417,5.467848396278896e-15,0,200.0156832906449,pfba
b4467,3,10,0.0796779070803472,0.0796779708834892,-6.380314197806938e-08,0,200.01359898780785,pfba
b2979,3,10,0.0796779070803472,0.0796779708834892,-6.380314197806938e-08,0,200.01359898780785,pfba
b4468,3,10,0.0796779070803472,0.0796779708834892,-6.380314197806938e-08,0,200.01359898780785,pfba
b3916,3,324,0.0796779070803472,0.0785757423796585,0.0011021647006887,0,202.4420188243962,pfba
b1260,3,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501817,pfba
b1261,3,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018079,pfba
b3426,1,10,0.0796779070803472,0.079677907080332,1.5154544286133387e-14,0,200.01204695724496,pfba
b2243,3,10,0.0796779070803472,0.0796779070803576,-1.0408340855860844e-14,0,200.0120469572448,pfba
b2242,3,10,0.0796779070803472,0.0796779070803576,-1.0408340855860844e-14,0,200.0120469572448,pfba
b2241,3,10,0.0796779070803472,0.0796779070803576,-1.0408340855860844e-14,0,200.0120469572448,pfba
b3770,5,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550181335,pfba
b4054,4,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018149,pfba
b3281,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018119,pfba
b1692,3,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018212,pfba
b0243,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550184655,pfba
b1613,1,8,0.0796779070803472,0.0796779070803401,7.077671781985373e-15,0,200.0068894274603,pfba
b0414,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501826,pfba
b3041,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501823,pfba
b0025,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018139,pfba
b0446,4,12,0.0796779070803472,0.0796779708835381,-6.380319095278253e-08,0,200.01126752913163,pfba
b3812,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501774,pfba
b0844,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018176,pfba
b1662,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501765,pfba
b0421,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018425,pfba
b3804,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018393,pfba
b3997,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018246,pfba
b4382,2,12,0.0796779070803472,0.0796779070803316,1.5598633495983453e-14,0,200.01126732328527,pfba
b0126,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550186457,pfba
b0339,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018176,pfba
b4006,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018117,pfba
b2508,1,306,0.0796779070803472,0.0793703328464651,0.000307574233882,0,200.01109014849607,pfba
b3846,19,358,0.0796779070803472,0.0783006046283747,0.0013773024519724,0,200.2821783320396,pfba
b2341,16,361,0.0796779070803472,0.0783006662448077,0.0013772408355394,0,200.2752072897895,pfba
b2400,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550182864,pfba
b3993,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018487,pfba
b2066,4,10,0.0796779070803472,0.0796779070803469,3.191891195797325e-16,0,200.0248496491089,pfba
b0238,3,10,0.0796779070803472,0.0796779070803223,2.4855117963795692e-14,0,200.00103349290683,pfba
b0125,2,10,0.0796779070803472,0.0796779070803223,2.4855117963795692e-14,0,200.00103349290683,pfba
b2518,8,10,0.0796779070803472,0.0796779070803319,1.529332216421153e-14,0,200.02484964910863,pfba
b0474,13,55,0.0796779070803472,0.0796774798239378,4.2725640940488585e-07,0,200.2433683866288,pfba
b1062,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018245,pfba
b1281,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055017849,pfba
b0720,1,411,0.0796779070803472,0.0,0.0796779070803472,1,331.36300295942794,pfba
b1136,1,411,0.0796779070803472,0.0,0.0796779070803472,1,331.3630029594271,pfba
b0351,1,12,0.0796779070803472,0.079677970883521,-6.380317375820346e-08,0,200.01126752913163,pfba
b1241,3,10,0.0796779070803472,0.0796779070803268,2.0414225865295063e-14,0,200.0135992078733,pfba
b4069,2,10,0.0796779070803472,0.0796779070803417,5.467848396278896e-15,0,200.01359920787328,pfba
b4226,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018139,pfba
b2502,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018188,pfba
b2744,14,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501817,pfba
b3403,1,10,0.0796779070803472,0.0796779708835101,-6.380316293352897e-08,0,200.0120471729157,pfba
b1479,1,10,0.0796779070803472,0.0796779070803375,9.645062526431047e-15,0,200.0135992078732,pfba
b1190,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018119,pfba
b4053,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018461,pfba
b2379,1,11,0.0796779070803472,0.0796779070803348,1.2365108936762681e-14,0,200.01333720746075,pfba
b2290,1,13,0.0796779070803472,0.0796779070803359,1.126876369994534e-14,0,200.02004698787377,pfba
b3564,2,10,0.0796779070803472,0.0796779070803316,1.5612511283791264e-14,0,200.01359920787328,pfba
b0063,3,10,0.0796779070803472,0.0796779070803371,1.0103029524088925e-14,0,200.0135992078733,pfba
b3752,1,10,0.0796779070803472,0.0796779070803417,5.467848396278896e-15,0,200.01359920787328,pfba
b3926,1,10,0.0796779070803472,0.0796779070803339,1.326716514427062e-14,0,200.01359920787328,pfba
b4383,2,55,0.0796779070803472,0.0796774798239395,4.272564076562846e-07,0,200.0114937790334,pfba
b0928,4,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018235,pfba
b3925,1,14,0.0796779070803472,0.0796779070803396,7.605027718682322e-15,0,200.01176447557307,pfba
b2930,1,10,0.0796779070803472,0.0796779070803417,5.467848396278896e-15,0,200.01359920787328,pfba
b4232,1,10,0.0796779070803472,0.0796779070803417,5.467848396278896e-15,0,200.01359920787328,pfba
b3697,6,10,0.0796779070803472,0.0796779708835052,-6.380315803466985e-08,0,200.0120471729159,pfba
b3430,1,10,0.0796779070803472,0.0796779070803417,5.467848396278896e-15,0,200.01359920787328,pfba
b1676,1,10,0.0796779070803472,0.0796779070803549,-7.757683384568281e-15,0,200.0135992078733,pfba
b1854,5,10,0.0796779070803472,0.0796779070803343,1.2906342661267443e-14,0,200.01204695724465,pfba
b3197,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018144,pfba
b2708,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.299805501818,pfba
b0072,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550184086,pfba
b0071,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018127,pfba
b3671,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550182427,pfba
b3670,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018175,pfba
b0078,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550182006,pfba
b0077,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018172,pfba
b0908,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018069,pfba
b1264,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018244,pfba
b1263,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018241,pfba
b2599,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018189,pfba
b2600,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018318,pfba
b2329,1,409,0.0796779070803472,0.0,0.0796779070803472,1,465.29980550182256,pfba
b1262,2,409,0.0796779070803472,0.0,0.0796779070803472,1,465.2998055018149,pfba
b2779,1,411,0.0796779070803472,0.0,0.0796779070803472,1,26861.182837701213,infeasible
