gene_id,gene_name,stratum,glpk_status,highs_status,b_lex_glpk,b_lex_highs,b_deposited,kV_deposited,kV_lex_glpk_vs_wt,kV_lex_highs_vs_wt,kV_lex_cross_engine,t_glpk_s,t_highs_s
b0870,ltaE,anchor,ok,ok,0.07967742927404535,0.07967742927403701,0.0796774292740444,200.00689774512293,1.0204063052253734e-07,1.017114213277027e-07,4.547826368037814e-11,1.4629032611846924,0.7776386737823486
b1479,maeA,floor_sample,ok,ok,0.07967790708033733,0.07967790708033622,0.0796779070803375,200.0135992078732,3.4528506337597507e-12,0.0,4.547884751565484e-11,1.339294195175171,0.8124632835388184
b0963,mgsA,floor_sample,ok,ok,0.07967790708031658,0.07967790708033531,0.0796779070803146,200.0120469572448,3.452873761583869e-12,0.0,4.547819004868947e-11,1.4719445705413818,0.8233215808868408
b3952,pflC,floor_sample,ok,ok,0.0796779708835016,0.07967790708033622,0.0796779708835007,200.01176433439147,0.0,0.0,5.858600029869067e-11,1.499441146850586,0.8069286346435547
b0902,pflA,floor_sample,ok,ok,0.07967797088350381,0.07967790708033622,0.0796779708835037,200.01149410595644,0.0,0.0,5.858298802712438e-11,1.358109712600708,0.7970085144042969
b2234,nrdA,floor_sample,ok,ok,0.07967790708033733,0.07967790708033622,0.0796779070803351,200.01359920787348,3.4527762959386656e-12,0.0,4.548082981094274e-11,1.4724376201629639,0.80548095703125
b1109,ndh,floor_sample,ok,ok,0.07967790708034189,0.07967790708033638,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.548008221842848e-11,1.4930331707000732,0.7975234985351562
b2797,sdaB,floor_sample,ok,ok,0.0796779708835111,0.07967790708033622,0.0796779070803391,200.012046957245,0.0,0.0,5.8580976474494e-11,1.5352437496185303,0.8226437568664551
b0759,galE,floor_sample,ok,ok,0.07967797088349408,0.07967790708033622,0.0796779708834938,200.01149410595644,0.0,0.0,5.858157504253826e-11,1.462946891784668,0.7976627349853516
b2091,gatD,floor_sample,ok,ok,0.07967790708034476,0.07967790708033622,0.0796779070803458,200.01149423367923,3.4528790594977924e-12,0.0,4.547792042351793e-11,1.4776933193206787,0.7885181903839111
b0894,dmsA,floor_sample,ok,ok,0.07967790708033988,0.07967790708033622,0.0796779070803412,200.0135992078733,3.452847287320948e-12,0.0,4.5478738579487585e-11,1.4565479755401611,0.7741794586181641
b1398,paaK,floor_sample,ok,ok,0.07967790708034189,0.07967790708033622,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.548009874415872e-11,1.4857373237609863,0.773761510848999
b3052,rfaE,floor_sample,ok,ok,0.07967790708035763,0.07967790708034045,0.0796779070803565,200.01204695724488,3.452851060640443e-12,0.0,4.547841703435323e-11,1.4995100498199463,0.8020238876342773
b1694,ydiF,floor_sample,ok,ok,0.07967790708033183,0.07967790708033622,0.0796779070802931,200.012046957245,3.452826187261246e-12,0.0,4.54793633897186e-11,1.4741606712341309,0.7916839122772217
b2040,rfbD,floor_sample,ok,ok,0.07967790708033748,0.07967790708033977,0.0796779070803394,200.01359920787328,3.452898048169433e-12,0.0,4.5477096712036385e-11,1.4555530548095703,0.7640082836151123
b3617,kbl,floor_sample,ok,ok,0.07967790708032595,0.07967790708033622,0.0796779070803483,200.01204695724488,3.4528377053855564e-12,0.0,4.54791006637917e-11,1.346022605895996,0.8134829998016357
b4197,ulaE,floor_sample,ok,ok,0.07967797088350466,0.07967790708033622,0.0796779708835041,200.01359898780785,0.0,0.0,5.858223231115271e-11,1.4387774467468262,0.7913596630096436
b0403,malZ,floor_sample,ok,ok,0.07967790708032642,0.07967790708033622,0.0796779070803264,200.0135992078732,3.4528480877218806e-12,0.0,4.5478794336142816e-11,1.43864107131958,0.7821283340454102
b1200,dhaK,topkV,ok,ok,0.0796779070803402,0.07967790708033681,0.0796779070803421,621.1983566122085,427.18376767004213,427.18372507919713,4.547727786415898e-11,1.4667770862579346,0.7973015308380127
