gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b1927,,1,4,0.0992479883158715,0.0992479883158471,2.4383273178329997e-14,0,1.959355041897144e-09,
b3571,,1,4,0.0992479883158715,0.0992479883158553,1.6209256159527282e-14,0,1.959355037190377e-09,
b2901,,1,4,0.0992479883158715,0.0992479883158528,1.8665624601510444e-14,0,1.959355040984152e-09,
b1302,,1,0,0.0992479883158715,0.0992479883158405,3.096134459923405e-14,0,0.0,
b2662,,1,0,0.0992479883158715,0.0992479883158405,3.096134459923405e-14,0,0.0,
b1444,,1,11,0.0992479883158715,0.0992480858325449,-9.7516673416842e-08,0,1.5326967160481757e-11,
b2663,,1,0,0.0992479883158715,0.0992479883158726,-1.0963452368173419e-15,0,0.0,
b2222,,3,4,0.0992479883158715,0.0992479883158392,3.2335245592207684e-14,0,1.959355041561361e-09,
b2221,,3,4,0.0992479883158715,0.0992479883158392,3.2335245592207684e-14,0,1.959355041561361e-09,
b2224,,1,400,0.0992479883158715,0.0967855395454661,0.0024624487704054,0,0.4272203272625519,
b2342,,8,402,0.0992479883158715,0.0967855395454722,0.0024624487703993,0,0.4272229597851733,
b3845,,8,402,0.0992479883158715,0.0967855395454722,0.0024624487703993,0,0.4272229597851733,
b2223,,3,4,0.0992479883158715,0.0992479883158429,2.856048730848215e-14,0,1.9593550497981884e-09,
b1241,,2,0,0.0992479883158715,0.099247988315853,1.8485213360008856e-14,0,0.0,
b0351,,1,0,0.0992479883158715,0.0992479883158526,1.890154699424329e-14,0,0.0,
s0001,,39,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b1463,,1,0,0.0992479883158715,0.0992479883158477,2.3814283878209608e-14,0,0.0,
b1993,,2,0,0.0992479883158715,0.0992479883158557,1.5834555888716295e-14,0,0.0,
b2316,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848961,
b3255,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489324,
b0185,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848966,
b3256,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638849364,
b4069,,2,4,0.0992479883158715,0.0992479883158582,1.3336554083309691e-14,0,1.959355076304216e-09,
b1119,,1,0,0.0992479883158715,0.0992479883158781,-6.550315845288424e-15,0,0.0,
b3784,,1,0,0.0992479883158715,0.0992479883158304,4.110600748674642e-14,0,0.0,
b2415,,18,419,0.0992479883158715,0.0744359912368958,0.0248119970789757,0,1200.1820957588798,
b0679,,1,0,0.0992479883158715,0.0992479883158527,1.8776646903972963e-14,0,0.0,
b1101,,2,420,0.0992479883158715,0.0744359912368884,0.024811997078983,0,584.3140426894513,
b2417,,6,420,0.0992479883158715,0.0744360643744481,0.0248119239414233,0,584.3140879816661,
b2416,,19,419,0.0992479883158715,0.0744360643744107,0.0248119239414608,0,1200.1821803001285,
b3959,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848814,
b2818,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848996,
b0078,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848895,
b3670,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489034,
b3671,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848845,
b0077,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488124,
b3115,,2,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b1849,,2,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b2296,,1,424,0.0992479883158715,0.0,0.0992479883158715,1,26792.52950120165,
b2428,,1,0,0.0992479883158715,0.0992479883158463,2.5215940446798868e-14,0,0.0,
b3794,,1,0,0.0992479883158715,0.0992479883158525,1.899869150889799e-14,0,0.0,
b1818,,5,419,0.0992479883158715,0.0744359912368959,0.0248119970789756,0,585.4254483694531,
b1819,,5,419,0.0992479883158715,0.0744359912368959,0.0248119970789756,0,585.4254483694531,
b1817,,5,419,0.0992479883158715,0.0744359912368959,0.0248119970789756,0,585.4254483694531,
b2429,,2,4,0.0992479883158715,0.0992479883158866,-1.5140666498325572e-14,0,1.9593550823117574e-09,
b3224,,1,0,0.0992479883158715,0.0992479883158482,2.3259172365897033e-14,0,0.0,
b4311,,1,0,0.0992479883158715,0.0992479883158588,1.2725931419765855e-14,0,0.0,
