gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str,bnum,keio_call,gene_name_keio,COG_id,PEC,MG_Tn5,Score
b2066,4,12,0.8217979336265955,0.8217979336266004,-4.884981308350689e-15,0,7.745841857632663,b2066,b2066,N,udk,COG0572,,,
b0238,3,12,0.8217979336265955,0.8217979336265747,2.0761170560490427e-14,0,7.74584185763049,b0238,b0238,N,gpt,COG0503,,,
b2518,8,16,0.8217979336265955,0.8217979336265747,2.0761170560490427e-14,0,2.972341879961463,b2518,b2518,N,ndk,COG0105,,,
b0474,13,187,0.8217979336265955,0.8217935269041511,4.40672244439444e-06,0,12.629001363088262,b0474,b0474,E,adk,COG0563,E,u,3
b1062,1,428,0.8217979336265955,-6.341277221812311e-16,0.8217979336265961,1,15132.409681796764,b1062,b1062,N,pyrC,COG0418,,,
b1281,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796375,b1281,b1281,N,pyrF,COG0284,,,
b0720,1,428,0.8217979336265955,-3.3684274761313317e-15,0.8217979336265988,1,15132.409681796724,b0720,b0720,N,gltA,COG0372,,,
b1136,1,428,0.8217979336265955,1.7871298631800905e-30,0.8217979336265955,1,15132.409681796598,b1136,b1136,N,icd,COG0538,,,
b0351,1,21,0.8217979336265955,0.8217979336265331,6.23945339839338e-14,0,12.626133694505912,b0351,b0351,N,mhpF,COG0119,,,
b1241,3,21,0.8217979336265955,0.8217979336266196,-2.4091839634365897e-14,0,12.626133694509733,b1241,b1241,N,adhE,COG1012,,,
b4069,2,21,0.8217979336265955,0.8217979336266196,-2.4091839634365897e-14,0,12.626133694509733,b4069,b4069,N,acs,COG0365,,,
b4226,1,428,0.8217979336265955,-8.25843870913108e-15,0.8217979336266037,1,15132.409681796818,b4226,b4226,E,ppa,COG0221,E,u,3
b2502,2,428,0.8217979336265955,-3.370775887668458e-14,0.8217979336266292,1,15132.409681797479,b2502,b2502,N,ppx,COG0248,,,
b2744,14,428,0.8217979336265955,-3.370775887668458e-14,0.8217979336266292,1,15132.409681797479,b2744,b2744,N,surE,COG0496,,,
b3403,1,38,0.8217979336265955,0.8217979336266041,-8.659739592076221e-15,0,12.619426074371207,b3403,b3403,N,pck,COG1866,,,
b1479,1,38,0.8217979336265955,0.8217979336265887,6.772360450213455e-15,0,12.619426074372804,b1479,b1479,N,sfcA,COG0281,,,
b1190,1,428,0.8217979336265955,3.1096202816651396e-15,0.8217979336265924,1,15132.409681796285,b1190,b1190,N,dadX,COG0787,,,
b4053,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796638,b4053,b4053,N,alr,COG0787,,,
