gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0870,5,89,0.2390337212410202,0.2390322878221048,1.433418915369744e-06,0,200.42976084052543,pfba
b2551,6,411,0.2390337212410202,0.2325687885712596,0.0064649326697606,0,202.1486741234889,pfba
b3368,3,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308877,pfba
b2436,1,197,0.2390337212410202,0.2390285185433251,5.202697695133596e-06,0,200.42926865381543,pfba
b3500,1,14,0.2390337212410202,0.2390337212410079,1.2323475573339238e-14,0,200.038056445756,pfba
b0945,2,17,0.2390337212410202,0.2390337212410152,5.0237591864288326e-15,0,200.05681319070084,pfba
b4467,3,14,0.2390337212410202,0.2390337212410116,8.576472865229334e-15,0,200.03805644575584,pfba
b2979,3,14,0.2390337212410202,0.2390337212410116,8.576472865229334e-15,0,200.03805644575584,pfba
b4468,3,14,0.2390337212410202,0.2390337212410116,8.576472865229334e-15,0,200.03805644575584,pfba
b3916,3,379,0.2390337212410202,0.2357270358950081,0.003306685346012,0,224.0502483223825,pfba
b1260,3,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308875,pfba
b1261,3,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088413,pfba
b3426,1,14,0.2390337212410202,0.2390337212410072,1.301736496372996e-14,0,200.4295495001612,pfba
b2243,3,16,0.2390337212410202,0.2390337212410046,1.557087792036782e-14,0,200.0353694763312,pfba
b2242,3,16,0.2390337212410202,0.2390337212410046,1.557087792036782e-14,0,200.0353694763312,pfba
b2241,3,16,0.2390337212410202,0.2390337212410046,1.557087792036782e-14,0,200.0353694763312,pfba
b3770,5,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088704,pfba
b4054,4,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088422,pfba
b3281,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308867,pfba
b1692,3,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308952,pfba
b0243,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913089364,pfba
b1613,1,18,0.2390337212410202,0.2390337212410161,4.08006961549745e-15,0,200.3280965190199,pfba
b0414,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308896,pfba
b3041,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308973,pfba
b0025,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088622,pfba
b0446,4,18,0.2390337212410202,0.2390337212410159,4.3021142204224816e-15,0,200.32809651901965,pfba
b3812,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308884,pfba
b0844,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913089423,pfba
b1662,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088622,pfba
b0421,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308946,pfba
b3804,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308904,pfba
b3997,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088995,pfba
b4382,2,18,0.2390337212410202,0.2390337212410052,1.5015766408055242e-14,0,200.32809651902085,pfba
b0126,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308908,pfba
b0339,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088823,pfba
b4006,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308877,pfba
b2508,1,324,0.2390337212410202,0.238110808605128,0.0009229126358921,0,200.47744566855425,pfba
b3846,19,418,0.2390337212410202,0.2349018138851165,0.0041319073559037,0,202.89579716510775,pfba
b2341,16,420,0.2390337212410202,0.2349018138850897,0.0041319073559304,0,202.7837444487897,pfba
b2400,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088686,pfba
b3993,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308844,pfba
b2066,4,18,0.2390337212410202,0.2390337212410014,1.879052469178077e-14,0,200.32809651902016,pfba
b0238,3,12,0.2390337212410202,0.239033721241005,1.5154544286133387e-14,0,200.06201103898445,pfba
b0125,2,12,0.2390337212410202,0.2390337212410105,9.686695889854492e-15,0,200.062011038984,pfba
b2518,8,14,0.2390337212410202,0.2390337212410065,1.3683498778505054e-14,0,200.01363736421504,pfba
b0474,13,85,0.2390337212410202,0.2390324394718328,1.2817691874278392e-06,0,201.9803197277882,pfba
b1062,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308879,pfba
b1281,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.048991308883,pfba
b0720,1,413,0.2390337212410202,0.0,0.2390337212410202,1,1492.1331051498782,pfba
b1136,1,413,0.2390337212410202,0.0,0.2390337212410202,1,1492.1331051499033,pfba
b0351,1,16,0.2390337212410202,0.2390337212410125,7.716050021144838e-15,0,200.0353694763312,pfba
b1241,3,12,0.2390337212410202,0.2390337212410086,1.1601830607332886e-14,0,200.0620110389837,pfba
b4069,2,14,0.2390337212410202,0.2390337212410152,5.0237591864288326e-15,0,200.03805644575587,pfba
b4226,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088663,pfba
b2502,2,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088686,pfba
b2744,14,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913089286,pfba
b3403,1,12,0.2390337212410202,0.2390337212410163,3.858025010572419e-15,0,200.06201103898388,pfba
b1479,1,14,0.2390337212410202,0.2390337212410344,-1.4210854715202004e-14,0,200.0380564457558,pfba
b1190,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088577,pfba
b4053,1,411,0.2390337212410202,0.0,0.2390337212410202,1,2839.0489913088554,pfba
