level,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
nh4_-2.5,b0870,5,0,0.23148330334080713,0.23148330334081496,-7.827072323607354e-15,0,0.0
nh4_-2.5,b2551,6,78,0.23148330334080713,0.23148330334081496,-7.827072323607354e-15,0,29.979205065698718
nh4_-2.5,b3368,3,438,0.23148330334080713,2.073465575413368e-16,0.23148330334080694,1,150.5998778797405
nh4_-2.5,b2436,1,110,0.23148330334080713,0.23148330334082254,-1.5404344466674047e-14,0,21.001143302788563
nh4_-2.5,b3500,1,110,0.23148330334080713,0.23148330334080588,1.2490009027033011e-15,0,21.00114330278753
nh4_-2.5,b0945,2,112,0.23148330334080713,0.23148330334080588,1.2490009027033011e-15,0,21.052840403945375
nh4_-2.5,b4467,3,112,0.23148330334080713,0.23148330334081138,-4.246603069191224e-15,0,21.052840403945723
nh4_-2.5,b2979,3,112,0.23148330334080713,0.23148330334081138,-4.246603069191224e-15,0,21.052840403945723
nh4_-2.5,b4468,3,112,0.23148330334080713,0.23148330334081138,-4.246603069191224e-15,0,21.052840403945723
nh4_-2.5,b3916,3,106,0.23148330334080713,0.23148330334081016,-3.0253577421035516e-15,0,68.80449515798833
nh4_-2.5,b1260,3,448,0.23148330334080713,6.702964621362344e-22,0.23148330334080713,1,299.9707802686893
nh4_-2.5,b1261,3,448,0.23148330334080713,0.0,0.23148330334080713,1,299.97078026868894
nh4_-2.5,b3426,1,98,0.23148330334080713,0.23148330334079864,8.493206138382448e-15,0,71.50108210195602
nh4_-2.5,b2243,3,98,0.23148330334080713,0.231483303340815,-7.854827899222983e-15,0,71.50108210194038
nh4_-2.5,b2242,3,98,0.23148330334080713,0.231483303340815,-7.854827899222983e-15,0,71.50108210194038
nh4_-2.5,b2241,3,98,0.23148330334080713,0.231483303340815,-7.854827899222983e-15,0,71.50108210194038
nh4_-2.5,b3770,5,444,0.23148330334080713,-6.700838161178721e-17,0.2314833033408072,1,371.39909470134927
nh4_-2.5,b4054,4,438,0.23148330334080713,0.0,0.23148330334080713,1,457.3906891183183
nh4_-2.5,b3281,1,444,0.23148330334080713,0.0,0.23148330334080713,1,488.0522855934523
nh4_-2.5,b1692,3,444,0.23148330334080713,0.0,0.23148330334080713,1,488.0522855934538
nh4_-2.5,b0243,1,444,0.23148330334080713,0.0,0.23148330334080713,1,488.0522855934538
nh4_-2.5,b1613,1,229,0.23148330334080713,0.23148330334080586,1.27675647831893e-15,0,82.51528917882169
nh4_-2.5,b0414,2,474,0.23148330334080713,-1.1097051133300097e-13,0.2314833033409181,1,299.70039127572267
nh4_-2.5,b3041,1,474,0.23148330334080713,0.0,0.23148330334080713,1,299.70039127564087
nh4_-2.5,b0025,2,474,0.23148330334080713,0.0,0.23148330334080713,1,299.70039127564127
nh4_-2.5,b0446,4,227,0.23148330334080713,0.23148330334082057,-1.3433698597964394e-14,0,82.70885784356813
nh4_-2.5,b3812,2,475,0.23148330334080713,1.3450559698922553e-16,0.231483303340807,1,315.44014214713377
nh4_-2.5,b0844,2,475,0.23148330334080713,0.0,0.23148330334080713,1,315.4401421471331
nh4_-2.5,b1662,1,475,0.23148330334080713,0.0,0.23148330334080713,1,315.4401421471331
nh4_-2.5,b0421,2,475,0.23148330334080713,0.0,0.23148330334080713,1,315.44014214713275
nh4_-2.5,b3804,1,475,0.23148330334080713,0.0,0.23148330334080713,1,315.4401421471333
nh4_-2.5,b3997,1,475,0.23148330334080713,0.0,0.23148330334080713,1,315.4401421471336
nh4_-2.5,b4382,2,227,0.23148330334080713,0.23148330334082035,-1.3211653993039363e-14,0,82.70885784356831
nh4_-2.5,b0126,1,442,0.23148330334080713,3.3470043256671714e-15,0.23148330334080378,1,473.8943592485676
nh4_-2.5,b0339,1,442,0.23148330334080713,7.605626414211347e-15,0.23148330334079953,1,473.89435924855553
