gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1386,,3,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b0004,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479115,677.3684210526316,highs_pfba
b1192,,4,8,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.069402824084474e-06,749.5838314199067,highs_pfba
b1243,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199052,highs_pfba
b4266,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199032,highs_pfba
b4265,,3,8,0.0992479883158474,0.0992479883158519,-4.440892098500626e-15,0,1.069402824086962e-06,749.5838314199093,highs_pfba
b0159,,3,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479115,677.3684210526317,highs_pfba
b3197,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847909,677.3684210526317,highs_pfba
b2708,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847909,677.3684210526317,highs_pfba
b1094,,26,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847921,677.3684210526314,highs_pfba
b4481,,1,8,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,1.0694028240837224e-06,749.5838314199053,highs_pfba
b1927,,1,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199057,highs_pfba
b3571,,1,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199057,highs_pfba
b2901,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b1302,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199073,highs_pfba
b2662,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199073,highs_pfba
b1444,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199092,highs_pfba
b2663,,1,0,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,0.0,749.5838314199084,highs_pfba
b2222,,3,0,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,0.0,749.5838314199078,highs_pfba
b2221,,3,0,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,0.0,749.5838314199078,highs_pfba
b2224,,1,404,0.0992479883158474,0.0967855395454717,0.0024624487703757,0,0.4272240007443938,749.4827797704162,highs_pfba
b2342,,8,404,0.0992479883158474,0.0967855395454673,0.0024624487703801,0,0.4272240007441328,749.482779770412,highs_pfba
b3845,,8,404,0.0992479883158474,0.0967855395454673,0.0024624487703801,0,0.4272240007441328,749.482779770412,highs_pfba
